 doy | total  
-----+--------
   0 |       
   1 |   1436
   2 |   1601
   3 |   1762
   4 |   1855
   5 |   1845
   6 |   1981
   7 |   1885
   8 |   1897
   9 |   2162
  10 |   2182
  11 |   2459
  12 |   2893
  13 |   2643
  14 |   2240
  15 |   2634
  16 |   2961
  17 |   3437
  18 |   3916
  19 |   4130
  20 |   3126
  21 |   2965
  22 |   2872
  23 |   2878
  24 |   2832
  25 |   2250
  26 |   2085
  27 |   1722
  28 |   1906
  29 |   4312
  30 |   2924
  31 |   3423
  32 |   4196
  33 |   5347
  34 |   5520
  35 |   7199
  36 |   9699
  37 |  20107
  38 | 104232
  39 | 106333
  40 | 103299
  41 | 103123
  42 | 103178
  43 | 104964
  44 | 107628
  45 | 109094
  46 | 109980
  47 | 110753
  48 | 109627
  49 | 106653
  50 | 105124
  51 | 106435
  52 | 107713
  53 | 107818
  54 | 107460
  55 | 100933
  56 |  22693
  57 |  89891
  58 |   9458
  59 |  13802
  60 | 110411
  61 | 111484
  62 | 111292
  63 | 111700
  64 | 109603
  65 | 111209
  66 | 106966
  67 | 109455
  68 | 111748
  69 | 114449
  70 | 107623
  71 | 106211
  72 | 112690
  73 | 114655
  74 | 115198
  75 | 132140
  76 | 138394
  77 | 134409
  78 | 137415
  79 | 139294
  80 | 137025
  81 |   2926
  82 |   3242
  83 |   3502
  84 |   3896
  85 |   4140
  86 |   4992
  87 |   5907
  88 |   7137
  89 |   8604
  90 |  10337
  91 |  24755
  92 |  14448
  93 |  19235
  94 |  60905
  95 | 136209
  96 | 136231
  97 | 128557
  98 | 142101
  99 | 144484
 100 | 142388
 101 | 139067
 102 | 149289
 103 | 143418
 104 |   8574
 105 |   9697
 106 |  13111
 107 |  19715
 108 |  43305
 109 | 142201
 110 | 131060
 111 | 131172
 112 | 129766
 113 | 132734
 114 | 133108
 115 | 132205
 116 | 131818
 117 | 133662
 118 | 119532
 119 |  12108
 120 |  16741
 121 |  30484
 122 |  19455
 123 |  61627
 124 | 146488
 125 | 147536
 126 | 147364
 127 | 145493
 128 | 145825
 129 | 143886
 130 | 147887
 131 | 148373
 132 | 147220
 133 | 146896
 134 | 145119
 135 | 146774
 136 | 148549
 137 | 150087
 138 | 149384
 139 | 149676
 140 | 147955
 141 | 148093
 142 | 104703
 143 |  35877
 144 | 130050
 145 |   2640
 146 |   3087
 147 |   3595
 148 |   3589
 149 |   2982
 150 |   2786
 151 |   3656
 152 |  36407
 153 |   6799
 154 |   8517
 155 |  10829
 156 |  13272
 157 |  15370
 158 |  23681
 159 | 152087
 160 | 147044
 161 | 126312
 162 | 126551
 163 | 140780
 164 | 153885
 165 | 154384
 166 | 156056
 167 | 156565
 168 | 155656
 169 | 153530
 170 | 154403
 171 | 154009
 172 | 134521
 173 | 133797
 174 | 133533
 175 | 130495
 176 | 128973
 177 | 130512
 178 | 117167
 179 |   7351
 180 |  12892
 181 |   9335
 182 | 111196
 183 |  23684
 184 | 141110
 185 | 148824
 186 | 150789
 187 | 147328
 188 |  99002
 189 |  88726
 190 |  91213
 191 |  96669
 192 | 118900
 193 |  90899
 194 | 141223
 195 |  94239
 196 | 117381
 197 | 112568
 198 | 115643
 199 | 108493
 200 |  90176
 201 | 111268
 202 | 108488
 203 | 113814
 204 |  67125
 205 | 109033
 206 |  86616
 207 |  57792
 208 |   4907
 209 |   5561
 210 |   6709
 211 |   8949
 212 |  13224
 213 |  71146
 214 |   5033
 215 |   5641
 216 |   7336
 217 |   9270
 218 |  13885
 219 |  37013
 220 |  86364
 221 |  78736
 222 |  92058
 223 |  94441
 224 |  84293
 225 |  89296
 226 |  89617
 227 |  90633
 228 |  83764
 229 |  13463
 230 |  26778
 231 |  92060
 232 |  91035
 233 |  92643
 234 | 105186
 235 |  81923
 236 |  84556
 237 |  85668
 238 |  90101
 239 |  85683
 240 |  92235
 241 |  86085
 242 |  15600
 243 |  85589
 244 |  91360
 245 |  89557
 246 |  89616
 247 |  93276
 248 | 109096
 249 |  91405
 250 |  93183
 251 |  91617
 252 |   9757
 253 |  13435
 254 |  18608
 255 |  95172
 256 | 128608
 257 |  89708
 258 |  82731
 259 |   1611
 260 |   1688
 261 |   1365
 262 |   1375
 263 |   1127
 264 |   1184
 265 |   1274
 266 |   1667
 267 |   2058
 268 |   1899
 269 |   2074
 270 |   2353
 271 |   2186
 272 |   2536
 273 |   3135
 274 |   3176
 275 |   3025
 276 |   2926
 277 |   2407
 278 |   2719
 279 |   3301
 280 |   3588
 281 |   4619
 282 |   4691
 283 |   5089
 284 |   6805
 285 |   7060
 286 |   8528
 287 |  10366
 288 |  14813
 289 |  74107
 290 |   4262
 291 |   4600
 292 |   5039
 293 |   5594
 294 |   6161
 295 |   7904
 296 |  13700
 297 |  12221
 298 |  18356
 299 |  92035
 300 | 128326
 301 |  96012
 302 |  91662
 303 | 103313
 304 |  98069
 305 | 103565
 306 | 117759
 307 |  90151
 308 |  97616
 309 |  99376
 310 | 121423
 311 |  95643
 312 |  91701
 313 |  92168
 314 |  95701
 315 |  97990
 316 |  94706
 317 | 101036
 318 | 131688
 319 |  93831
 320 |  96108
 321 |  95944
 322 |  92144
 323 | 100783
 324 |  98139
 325 | 132523
 326 |  93506
 327 |  93065
 328 |  95081
 329 |  98512
 330 | 124452
 331 | 147626
 332 | 129620
 333 | 125615
 334 |       
 335 |       
 336 |       
 337 |       
 338 |       
 339 |       
 340 |       
 341 |       
 342 |       
 343 |       
 344 |       
 345 |       
 346 |       
 347 |       
 348 |       
 349 |       
 350 |       
 351 |       
 352 |       
 353 |       
 354 |       
 355 |       
 356 |       
 357 |       
 358 |       
 359 |       
 360 |       
 361 |       
 362 |       
 363 |       
 364 |       
 365 |       
(366 rows)

