 doy | total 
-----+-------
   0 |      
   1 |   497
   2 |   545
   3 |   522
   4 |   624
   5 |   606
   6 |   637
   7 |   652
   8 |   593
   9 |   742
  10 |   686
  11 |   793
  12 |   988
  13 |   786
  14 |   751
  15 |   947
  16 |  1012
  17 |  1143
  18 |  1356
  19 |  1324
  20 |   984
  21 |   968
  22 |   870
  23 |   893
  24 |   817
  25 |   675
  26 |   607
  27 |   415
  28 |   528
  29 |   973
  30 |   719
  31 |  1212
  32 |  1340
  33 |  1884
  34 |  1640
  35 |  2492
  36 |  3528
  37 |  6780
  38 | 41008
  39 | 43004
  40 | 41277
  41 | 41848
  42 | 42768
  43 | 42828
  44 | 43982
  45 | 44284
  46 | 46051
  47 | 46003
  48 | 45171
  49 | 43920
  50 | 41936
  51 | 42445
  52 | 44457
  53 | 43781
  54 | 41608
  55 | 33548
  56 |  8082
  57 | 24789
  58 |  3211
  59 |  4763
  60 | 29199
  61 | 44930
  62 | 44855
  63 | 46566
  64 | 44017
  65 | 43222
  66 | 40817
  67 | 43832
  68 | 45240
  69 | 44960
  70 | 43356
  71 | 42928
  72 | 43901
  73 | 43983
  74 | 46313
  75 | 50382
  76 | 52412
  77 | 51399
  78 | 53982
  79 | 51282
  80 | 49281
  81 |   961
  82 |   986
  83 |  1051
  84 |  1211
  85 |  1247
  86 |  1531
  87 |  1826
  88 |  2252
  89 |  2744
  90 |  3062
  91 |  8427
  92 |  4559
  93 |  6066
  94 | 19655
  95 | 45969
  96 | 52822
  97 | 50158
  98 | 54441
  99 | 57511
 100 | 56559
 101 | 55266
 102 | 58700
 103 | 56471
 104 |  2814
 105 |  3116
 106 |  4148
 107 |  5834
 108 | 13386
 109 | 56736
 110 | 52543
 111 | 54749
 112 | 54293
 113 | 53664
 114 | 55011
 115 | 55319
 116 | 55307
 117 | 55797
 118 | 42056
 119 |  3668
 120 |  5189
 121 |  9567
 122 |  5376
 123 | 20585
 124 | 56904
 125 | 57875
 126 | 58513
 127 | 57053
 128 | 55211
 129 | 54558
 130 | 48856
 131 | 58612
 132 | 58690
 133 | 58810
 134 | 57679
 135 | 53886
 136 | 59168
 137 | 58005
 138 | 59911
 139 | 60279
 140 | 60005
 141 | 58773
 142 | 23517
 143 |  8274
 144 | 34730
 145 |   823
 146 |   947
 147 |  1124
 148 |  1001
 149 |   888
 150 |   766
 151 |  1064
 152 | 11167
 153 |  1991
 154 |  2556
 155 |  3142
 156 |  3525
 157 |  4272
 158 |  6431
 159 | 45261
 160 | 52862
 161 | 52732
 162 | 52244
 163 | 51459
 164 | 58745
 165 | 62258
 166 | 60873
 167 | 60049
 168 | 62565
 169 | 60593
 170 | 60527
 171 | 58590
 172 | 51463
 173 | 51189
 174 | 54952
 175 | 51730
 176 | 50643
 177 | 51429
 178 | 39576
 179 |  2102
 180 |  3339
 181 |  2940
 182 | 35520
 183 |  8032
 184 | 39711
 185 | 56212
 186 | 63317
 187 | 61098
 188 | 38950
 189 | 37815
 190 | 38449
 191 | 38455
 192 | 45206
 193 | 35726
 194 | 56097
 195 | 39115
 196 | 47543
 197 | 43492
 198 | 45686
 199 | 41942
 200 | 26772
 201 | 42404
 202 | 33125
 203 | 43712
 204 | 19919
 205 | 34958
 206 | 25034
 207 | 15561
 208 |  1851
 209 |  2144
 210 |  2641
 211 |  3474
 212 |  4595
 213 | 22108
 214 |  2024
 215 |  2208
 216 |  2875
 217 |  3626
 218 |  5230
 219 | 12152
 220 | 32355
 221 | 26176
 222 | 35689
 223 | 37577
 224 | 36020
 225 | 37147
 226 | 38488
 227 | 37476
 228 | 32185
 229 |  4987
 230 |  9215
 231 | 35128
 232 | 38767
 233 | 35447
 234 | 39662
 235 | 34555
 236 | 37005
 237 | 34161
 238 | 38763
 239 | 35213
 240 | 39334
 241 | 32082
 242 |  6210
 243 | 29091
 244 | 39961
 245 | 39240
 246 | 38351
 247 | 41745
 248 | 41983
 249 | 39116
 250 | 42533
 251 | 38256
 252 |  3997
 253 |  5195
 254 |  7188
 255 | 32436
 256 | 50318
 257 | 33860
 258 | 29520
 259 |   732
 260 |   707
 261 |   505
 262 |   522
 263 |   440
 264 |   427
 265 |   485
 266 |   641
 267 |   777
 268 |   730
 269 |   823
 270 |   888
 271 |   879
 272 |  1069
 273 |  1312
 274 |  1362
 275 |  1291
 276 |  1258
 277 |   970
 278 |  1220
 279 |  1407
 280 |  1590
 281 |  1818
 282 |  1956
 283 |  2199
 284 |  2833
 285 |  2845
 286 |  3265
 287 |  3867
 288 |  4975
 289 | 19252
 290 |  1775
 291 |  1910
 292 |  2094
 293 |  2181
 294 |  2536
 295 |  3450
 296 |  7866
 297 |  5343
 298 |  7391
 299 | 27781
 300 | 51190
 301 | 39475
 302 | 36268
 303 | 46516
 304 | 41946
 305 | 44596
 306 | 43914
 307 | 38434
 308 | 42771
 309 | 42042
 310 | 46127
 311 | 41476
 312 | 39238
 313 | 38559
 314 | 40813
 315 | 43719
 316 | 41456
 317 | 44483
 318 | 53091
 319 | 41377
 320 | 39914
 321 | 40278
 322 | 38448
 323 | 46177
 324 | 42891
 325 | 55222
 326 | 38707
 327 | 39379
 328 | 38205
 329 | 42654
 330 | 49520
 331 | 55885
 332 | 44989
 333 | 46736
 334 |      
 335 |      
 336 |      
 337 |      
 338 |      
 339 |      
 340 |      
 341 |      
 342 |      
 343 |      
 344 |      
 345 |      
 346 |      
 347 |      
 348 |      
 349 |      
 350 |      
 351 |      
 352 |      
 353 |      
 354 |      
 355 |      
 356 |      
 357 |      
 358 |      
 359 |      
 360 |      
 361 |      
 362 |      
 363 |      
 364 |      
 365 |      
 366 |      
(367 rows)

