psql:wior_rerouting_monthly.sql:27: NOTICE:  gserialized_gist_joinsel: jointype 1 not supported
psql:wior_rerouting_monthly.sql:27: NOTICE:  gserialized_gist_joinsel: jointype 1 not supported
         month          | cnt_total | cnt_reroute | cnt_alley | cnt_alley_only | cnt_coast 
------------------------+-----------+-------------+-----------+----------------+-----------
 2016-01-01 00:00:00+00 |       663 |          53 |       649 |            597 |        30
 2016-02-01 00:00:00+00 |         6 |           0 |         5 |              5 |         0
 2016-03-01 00:00:00+00 |       589 |          53 |       582 |            530 |        29
 2016-04-01 00:00:00+00 |       646 |          52 |       640 |            588 |        30
 2016-05-01 00:00:00+00 |        51 |           1 |        51 |             50 |         0
 2016-09-01 00:00:00+00 |       259 |          14 |       216 |            204 |         4
 2016-10-01 00:00:00+00 |         1 |           0 |         1 |              1 |         0
 2016-12-01 00:00:00+00 |        30 |           1 |        29 |             28 |         0
(8 rows)

