 length  |  type  |    avg_speed     
---------+--------+------------------
 120-199 | Tanker | 12.4524582902533
 120-199 | Cargo  | 12.3105972093297
 200-299 | Tanker | 12.9192298880394
 200-299 | Cargo  | 13.6370237929395
 300+    | Tanker |  12.980809584617
 300+    | Cargo  | 17.2670778892787
(6 rows)

 length  |  type  |    avg_speed     
---------+--------+------------------
 120-199 | Tanker | 12.0799255253736
 120-199 | Cargo  | 12.3209187498703
 200-299 | Cargo  | 12.7920689900858
 200-299 | Tanker |  12.730108432434
 300+    | Tanker | 12.9487031277692
 300+    | Cargo  | 14.9667499750344
(6 rows)

