 length  |  type  |    avg_speed     
---------+--------+------------------
 120-199 | Tanker | 12.4503201682246
 120-199 | Cargo  | 12.3099003728956
 200-299 | Tanker | 12.9176715504921
 200-299 | Cargo  | 13.6363416554028
 300+    | Tanker | 12.9800262545486
 300+    | Cargo  | 17.2707396245246
(6 rows)

 length  |  type  |    avg_speed     
---------+--------+------------------
 120-199 | Cargo  | 12.3017856541068
 120-199 | Tanker | 12.0671275305839
 200-299 | Cargo  | 12.7860806990162
 200-299 | Tanker |  12.711995628144
 300+    | Tanker |  12.679067168365
 300+    | Cargo  | 14.9305214594706
(6 rows)

