 length  |  type  |    avg_speed     
---------+--------+------------------
 120-199 | Cargo  | 12.4529279901732
 120-199 | Tanker | 12.3971750385132
 200-299 | Cargo  | 14.2628836117772
 200-299 | Tanker | 13.0432307232516
 300+    | Cargo  | 17.9374111987447
 300+    | Tanker | 13.3526374798482
(6 rows)

 length  |  type  |    avg_speed     
---------+--------+------------------
 120-199 | Cargo  | 12.3179688279376
 120-199 | Tanker | 12.1114633082274
 200-299 | Cargo  | 12.8187136725584
 200-299 | Tanker | 12.7492852484357
 300+    | Cargo  | 15.1277042033574
 300+    | Tanker | 12.9389942879719
(6 rows)

