 length  | pcode |  type  |    avg_speed     
---------+-------+--------+------------------
 120-199 | A     | Cargo  | 11.4939758997844
 120-199 | B     | Cargo  | 12.3317510258807
 120-199 | C     | Cargo  | 12.3591552049431
 120-199 | D     | Cargo  | 12.4084483709327
 120-199 | E     | Cargo  | 12.4049772468429
 120-199 | F     | Cargo  | 12.3874658759119
 120-199 | G     | Cargo  | 12.2875518640236
 120-199 | H     | Cargo  | 12.2078054159714
 120-199 | I     | Cargo  | 12.1655561840977
 120-199 | J     | Cargo  | 12.1176268780307
 120-199 | K     | Cargo  |  12.163234600749
 120-199 | A     | Tanker | 18.5710144803144
 120-199 | B     | Tanker | 12.1162283936528
 120-199 | C     | Tanker | 12.1527145816005
 120-199 | D     | Tanker | 12.2144423674434
 120-199 | E     | Tanker | 12.1924155756959
 120-199 | F     | Tanker | 12.0929331450165
 120-199 | G     | Tanker |  12.057280994683
 120-199 | H     | Tanker | 12.0403491239622
 120-199 | I     | Tanker | 12.0110495503654
 120-199 | J     | Tanker | 11.9477986414845
 120-199 | K     | Tanker | 12.0351944065797
 200-299 | A     | Cargo  | 16.2980582876113
 200-299 | B     | Cargo  |  12.729902927446
 200-299 | C     | Cargo  | 12.7812107983098
 200-299 | D     | Cargo  | 12.9322355506268
 200-299 | E     | Cargo  | 12.9024165058224
 200-299 | F     | Cargo  |  12.840519342066
 200-299 | G     | Cargo  | 12.7937605525407
 200-299 | H     | Cargo  | 12.7424920643531
 200-299 | I     | Cargo  | 12.7256440177509
 200-299 | J     | Cargo  | 12.6508867874295
 200-299 | K     | Cargo  | 12.8260213452331
 200-299 | A     | Tanker | 29.3847827807717
 200-299 | B     | Tanker | 12.8011381477232
 200-299 | C     | Tanker | 12.8281499044385
 200-299 | D     | Tanker | 12.7819227156759
 200-299 | E     | Tanker | 12.7797330881407
 200-299 | F     | Tanker | 12.6298432256341
 200-299 | G     | Tanker | 12.6551424054062
 200-299 | H     | Tanker |   12.60286317731
 200-299 | I     | Tanker | 12.5913029497634
 200-299 | J     | Tanker |  12.806258554044
 200-299 | K     | Tanker | 12.8568527932386
 300+    | A     | Cargo  |   24.03513534649
 300+    | B     | Cargo  | 14.9205752245296
 300+    | C     | Cargo  | 14.9480707533408
 300+    | D     | Cargo  | 15.0724667639928
 300+    | E     | Cargo  | 15.2832130775302
 300+    | F     | Cargo  | 15.1118985785662
 300+    | G     | Cargo  | 15.1794595516003
 300+    | H     | Cargo  | 15.2525053498116
 300+    | I     | Cargo  |  15.239299212795
 300+    | J     | Cargo  | 15.0365533410754
 300+    | K     | Cargo  | 15.2570503224964
 300+    | A     | Tanker | 23.4862745665257
 300+    | B     | Tanker | 13.0519696676096
 300+    | C     | Tanker | 13.0209214642165
 300+    | D     | Tanker |  13.069056405146
 300+    | E     | Tanker | 13.3716657113371
 300+    | F     | Tanker | 12.9924250880558
 300+    | G     | Tanker | 12.6936571687614
 300+    | H     | Tanker | 12.5756466677996
 300+    | I     | Tanker | 12.3541002110701
 300+    | J     | Tanker | 12.5568679618895
 300+    | K     | Tanker | 12.6657185651099
(66 rows)

