 doy | cat | ct_vessels |     avg_sog      |    avg_exc_fur    
-----+-----+------------+------------------+-------------------
  29 |   2 |          1 | 13.6999998092651 | 0.253645300865173
  35 |   5 |          1 | 14.8999996185303 |  1.08695507049561
  36 |   3 |          1 | 19.6000003814697 |  3.85959458351135
  37 |   1 |          1 |             17.5 |  2.04436540603638
  37 |   3 |          1 | 20.7999992370605 |  5.00558090209961
  38 |   1 |         45 | 15.1890322408369 |  1.01202861762816
  38 |   2 |         45 |           16.875 |  1.80697773362315
  38 |   3 |         38 | 19.1362204964705 |  3.30482961436895
  38 |   4 |         33 | 14.0342341844026 | 0.602543694478971
  38 |   5 |         20 | 15.6242423924533 |  2.16534698370731
  38 |   6 |          7 | 15.9555555979411 |  2.71366694238451
  39 |   1 |         31 | 15.1727273594249 | 0.996051033518531
  39 |   2 |         42 | 16.9108108120996 |  1.81366603277825
  39 |   3 |         43 | 18.5285714149475 |  2.77737514121192
  39 |   4 |         36 | 14.0912697807191 | 0.644742553196256
  39 |   5 |         23 | 15.9808218446496 |  2.62967291923418
  39 |   6 |          6 | 17.0210527620817 |  4.20415612270958
  40 |   1 |         25 | 15.3000000908261 |  1.05301691180184
  40 |   2 |         42 |  16.436419751909 |  1.58384006626812
  40 |   3 |         41 | 18.7219100587823 |   2.8556559487675
  40 |   4 |         37 | 14.0120482272412 | 0.580197658165392
  40 |   5 |         22 | 16.0988234912648 |   2.8209634808933
  40 |   6 |          7 | 15.7615385055542 |   2.6457275060507
  41 |   1 |         44 | 14.7620690378649 | 0.825620481474646
  41 |   2 |         43 | 16.6259036179048 |  1.71638497099819
  41 |   3 |         49 | 19.1179999637604 |  3.15716251730919
  41 |   4 |         41 | 14.0121795336405 | 0.579785100924663
  41 |   5 |         21 | 16.0048192954925 |    2.562085513609
  41 |   6 |          5 | 17.2454544414173 |  4.74456535686146
  42 |   1 |         52 | 14.5945454915365 | 0.756680052930659
  42 |   2 |         45 | 16.6229508092495 |  1.71827460312452
  42 |   3 |         50 | 19.3406541503478 |  3.29278593531279
  42 |   4 |         47 | 13.8701086873594 | 0.515512805270112
  42 |   5 |         28 | 15.9026315714184 |  2.57530375530845
  42 |   6 |         12 | 16.2687500119209 |  3.15303675830364
  43 |   1 |         57 | 14.8849514850135 | 0.874833402992452
  43 |   2 |         53 | 16.4776785373688 |  1.62489573551076
  43 |   3 |         49 | 19.4560605829412 |  3.43534686107828
  43 |   4 |         35 | 13.9550847522283 | 0.557285954386501
  43 |   5 |         22 | 15.9491525262089 |  2.66213477061967
  43 |   6 |         12 | 16.4000000392689 |  3.35386394051945
  44 |   1 |         64 | 14.8224066817414 | 0.850433471044564
  44 |   2 |         47 |  16.377884557614 |  1.60763756071146
  44 |   3 |         49 | 19.1500000327525 |  3.24663058796314
  44 |   4 |         37 | 14.0528985313747 | 0.628607115883758
  44 |   5 |         20 | 15.5078947669581 |   2.0469822162076
  44 |   6 |          6 | 16.2833333545261 |  3.29729943805271
  45 |   1 |         65 | 14.8747572713685 | 0.869149261018605
  45 |   2 |         36 | 16.7367521595751 |  1.79478642369947
  45 |   3 |         53 | 18.9044872186123 |  3.04313978170737
  45 |   4 |         43 | 14.0114504107992 | 0.608604046224638
  45 |   5 |         28 | 15.6912499427795 |  2.32802316695452
  45 |   6 |         13 | 15.3583334287008 |  2.07537589470545
  46 |   1 |         53 | 15.1821052952817 | 0.975618174828981
  46 |   2 |         36 | 17.0083332495256 |  0.23118459907445
  46 |   3 |         46 | 18.7466346208866 |  2.94073028862476
  46 |   4 |         44 | 14.2011428724016 | 0.700989292689732
  46 |   5 |         31 | 16.3594060085788 |  3.09086573241961
  46 |   6 |          8 | 15.4937499761581 |  2.14820316433907
  47 |   1 |         56 | 14.8773480831589 | 0.890479796499179
  47 |   2 |         38 | 16.5713286966711 |  1.66279554116976
  47 |   3 |         46 | 19.0596858618771 |  3.22905341992203
  47 |   4 |         45 | 14.2702702651153 | 0.732837510753322
  47 |   5 |         28 | 16.3268816855646 |  3.02290868887337
  47 |   6 |          7 | 15.4052631980494 |  2.15722713972393
  48 |   1 |         58 | 15.0817204290821 | 0.974292071916724
  48 |   2 |         39 | 16.3553956944308 |  1.53104489655803
  48 |   3 |         50 | 19.1114285423642 |  3.22595782279968
  48 |   4 |         45 | 14.2731843394274 |  0.72659724251518
  48 |   5 |         24 | 16.0530120780669 |   2.9382496339729
  48 |   6 |         11 | 15.3212123061671 |  2.05829298135006
  49 |   1 |         56 | 15.1484163379238 | 0.983974323013789
  49 |   2 |         46 | 16.4342540983337 |  1.59229568881883
  49 |   3 |         50 | 19.1101321417855 |  3.20306151553923
  49 |   4 |         47 | 14.2965517138025 | 0.738693556762094
  49 |   5 |         16 | 16.6191489037047 |  3.69957817868983
  49 |   6 |         12 | 15.8277777300941 |  2.72487790054745
  50 |   1 |         56 | 14.9348017654755 | 0.893043217154852
  50 |   2 |         46 | 16.3222222010295 |  1.53065357936753
  50 |   3 |         53 | 19.1417061774087 |  3.23268035011834
  50 |   4 |         45 |   14.14457144601 | 0.649961004257202
  50 |   5 |         20 | 15.7870370546977 |  2.60322563295011
  50 |   6 |         10 | 16.3263158798218 |  3.44330357250414
  51 |   1 |         59 | 14.6500000286102 | 0.786337277889252
  51 |   2 |         40 | 16.7746987859887 |  1.78043084905808
  51 |   3 |         47 | 19.2172248146751 |  3.33852928220941
  51 |   4 |         38 | 14.1113475637233 | 0.629869452605011
  51 |   5 |         23 | 15.9155171493004 |  2.61434990784218
  51 |   6 |         14 | 16.9408162953902 |   4.1631381268404
  52 |   1 |         55 | 14.4307317315078 | 0.691710090055698
  52 |   2 |         41 |  16.933734939759 |  1.86228743375066
  52 |   3 |         44 | 19.2168604495913 |  3.35600707420083
  52 |   4 |         39 |  14.201714314052 | 0.678539334705898
  52 |   5 |         20 | 15.9888888616411 |  2.79708566173675
  52 |   6 |         14 | 16.5863637057218 |   3.6447584845803
  53 |   1 |         52 | 14.5253968465896 | 0.722273742395734
  53 |   2 |         46 | 16.8113924159279 |  1.76623925755296
  53 |   3 |         45 | 19.1420454762199 |  3.27874983982606
  53 |   4 |         39 | 14.3279999542236 | 0.734601550896962
  53 |   5 |         25 | 15.6270270605345 |  2.17972135221636
  53 |   6 |         11 | 16.6083332300186 |  3.56847463051478
  54 |   1 |         54 | 14.7018182176532 | 0.806749435265859
  54 |   2 |         43 | 16.7020689931409 |  1.73063657530423
  54 |   3 |         41 | 19.1695946229471 |  3.23870106323345
  54 |   4 |         32 | 14.1891472912574 | 0.651230367579201
  54 |   5 |         33 | 15.7915662857423 |  2.49351239060781
  54 |   6 |          6 | 15.1299999237061 |   1.8211754322052
  55 |   1 |         50 | 14.5851351634876 | 0.756697483964868
  55 |   2 |         42 | 16.7015152122035 |  1.74024286595258
  55 |   3 |         34 |  19.357142947969 |  3.43225265684582
  55 |   4 |         30 | 14.1500000086698 | 0.652183795517141
  55 |   5 |         20 | 15.7296295519228 |  2.37644839286804
  55 |   6 |          3 | 14.8250002861023 |  1.45564424991608
  56 |   1 |          1 | 13.3000001907349 | 0.230188012123108
  57 |   1 |         34 | 14.4382352828979 | 0.671968056875117
  57 |   2 |         33 | 17.5848485195276 |  2.20296251051354
  57 |   3 |         32 | 19.2218751311302 |  3.28938662260771
  57 |   4 |         17 | 14.3294116749483 | 0.731876331217149
  57 |   5 |         19 |  15.836842235766 |  2.54917178655926
  57 |   6 |          7 | 16.1857143129621 |   3.0336389541626
  58 |   1 |          1 | 14.8000001907349 | 0.765871644020081
  60 |   1 |         28 | 14.4071428094591 | 0.680773247565542
  60 |   2 |         30 | 16.5533332506816 |  1.55192612012227
  60 |   3 |         27 |  18.518518447876 |  2.71623354487949
  60 |   4 |         29 | 14.3896551789909 | 0.766819945697127
  60 |   5 |         11 | 16.0272726579146 |  2.60136785290458
  60 |   6 |          2 | 14.1500000953674 | 0.858066320419312
  61 |   1 |         44 | 14.4114503933273 | 0.681835819746702
  61 |   2 |         42 | 16.5541353942756 |  1.61936600405471
  61 |   3 |         44 |  18.648993255308 |  2.78858185134478
  61 |   4 |         38 | 14.1409448563583 | 0.652094494639419
  61 |   5 |         20 | 15.7587301768954 |  2.42552469836341
  61 |   6 |          7 | 15.0555556615194 |  1.77405956056383
  62 |   1 |         44 | 14.6129032181155 | 0.766399942578808
  62 |   2 |         44 | 16.3150943300259 |  1.46595805096176
  62 |   3 |         41 | 18.9158939588938 |  2.98954619003447
  62 |   4 |         42 |  13.998571402686 | 0.602032122441701
  62 |   5 |         24 | 15.7177419816294 |  2.51018651839226
  62 |   6 |          9 | 16.2620689786714 |  3.13471815503877
  63 |   1 |         49 | 14.7241379419963 | 0.815978411627912
  63 |   2 |         47 | 16.5226600393286 |  1.56286257006265
  63 |   3 |         43 | 18.9787234042553 |  3.02632278330783
  63 |   4 |         54 | 13.9584158859631 | 0.565624697373645
  63 |   5 |         29 | 15.5416666467985 |  2.23975419998169
  63 |   6 |          9 | 16.6181818355214 |  3.60164153937137
  64 |   1 |         50 | 14.6511765255648 | 0.787079360204584
  64 |   2 |         44 | 16.6988888687558 |   1.6776414612929
  64 |   3 |         39 | 19.0613924340357 |  3.11175131043301
  64 |   4 |         57 | 13.8125581342121 | 0.486912613691286
  64 |   5 |         27 | 15.6869047823406 |  2.20531074489866
  64 |   6 |          8 | 17.3136363896457 |  4.57908597859469
  65 |   1 |         45 | 14.6552447805872 |  0.79432503660242
  65 |   2 |         40 |  16.551219434273 |  1.64210994650678
  65 |   3 |         38 | 18.8524193609914 |  2.95011328112695
  65 |   4 |         39 | 13.8573426466722 | 0.503669927170227
  65 |   5 |         24 | 15.8084506719885 |  2.35488494684998
  65 |   6 |          9 | 16.7454546148127 |  3.86158310283314
  66 |   1 |         40 | 14.6660377574417 | 0.786700347122156
  66 |   2 |         39 | 16.8399999701458 |   1.8155849809232
  66 |   3 |         40 |  18.679999863474 |  2.80809166305944
  66 |   4 |         42 | 13.8894736975954 | 0.527642607688904
  66 |   5 |         22 |  16.087500055631 |  2.66356864074866
  66 |   6 |          9 | 16.8549999237061 |  3.86533360481262
  67 |   1 |         44 | 14.6991803137982 | 0.796965536035475
