 sample | region_wa_hit | region_ea_hit | region_sea_hit | vra_wa_hit | vra_ea_hit | vra_sea_hit | wra_wa_hit | wra_ea_hit | wra_sea_hit | hra_ea_old_hit | hra_ea_old_nowedge_hit | hra_ea_new_hit | ibf_woa_ea_hit | ibf_xrz_ea_hit | ibf_hra_wa_hit | ibf_hra_ea_hit | aoi_sea_hit | jcc_wa_hit | jcc_ea_hit | jcc_sea_hit | atalanta_red_hit | atalanta_goa_hit | atalanta_somali_hit | atalanta_south_hit | atalanta_north_hit | atalanta_indian_hit | irtc_east_hit | irtc_west_hit | strait_malacca_hit | strait_singapore_hit | strait_sunda_hit | bgd_vicinity_hit | nga_naa_hit | nga_la_hit | nga_sts_hit | nga_saa_hit | nga_saa_mez_hit | ben_1_storage_hit | ben_2_tanker_hit | ben_3_tanker_hit | ben_4_sts_hit | tgo_waiting_hit | tgo_berthing_hit | gha_anchorage_hit | gha_sts_hit | region_wa_cov | region_ea_cov | region_sea_cov | vra_wa_cov | vra_ea_cov | vra_sea_cov | wra_wa_cov | wra_ea_cov | wra_sea_cov | hra_ea_old_cov | hra_ea_old_nowedge_cov | hra_ea_new_cov | ibf_woa_ea_cov | ibf_xrz_ea_cov | ibf_hra_wa_cov | ibf_hra_ea_cov | aoi_sea_cov | bgd_vicinity_cov 
--------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------+------------+-------------+------------------+------------------+---------------------+--------------------+--------------------+---------------------+---------------+---------------+--------------------+----------------------+------------------+------------------+-------------+------------+-------------+-------------+-----------------+-------------------+------------------+------------------+---------------+-----------------+------------------+-------------------+-------------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------------
 A      |             0 |             0 |             18 |          0 |          0 |          18 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |          18 |          0 |          0 |           0 |                0 |                0 |                   0 |                  0 |                  0 |                   0 |             0 |             0 |                  0 |                    0 |                0 |                0 |           0 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 B      |       1548232 |       2161789 |       10845895 |     578066 |    1701172 |     4071793 |     108848 |    1456694 |      368401 |        1538199 |                1242898 |         648910 |           8260 |        1393402 |          74856 |         455187 |     5035018 |     221069 |     969109 |     1354617 |           485185 |           391231 |               67811 |             390702 |             410496 |              747493 |        162815 |        150167 |            1123175 |              1248041 |           171404 |           213664 |       33776 |        487 |        8348 |        2307 |             769 |                 0 |              831 |            12176 |          2499 |             859 |             2288 |              7215 |       22656 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 C      |       1578824 |       2155976 |       13439066 |     607247 |    1723361 |     4169416 |     121032 |    1448709 |      407567 |        1576035 |                1297086 |         642943 |          11091 |        1409147 |          80928 |         447339 |     5319351 |     237246 |     991989 |     1415227 |           471186 |           370514 |               76419 |             403611 |             406465 |              800866 |        149990 |        155130 |            1158657 |              1327526 |           189049 |           209420 |       34627 |       2351 |        3656 |        3799 |               2 |                 0 |             1313 |            11581 |          3812 |               0 |             4839 |              5341 |       21133 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 D      |       1731869 |       2420910 |       14476812 |     672978 |    1909683 |     4433083 |     139712 |    1665644 |      350339 |        1761847 |                1387502 |         674161 |          12258 |        1596131 |          88360 |         444423 |     5690477 |     273999 |    1071668 |     1472887 |           509239 |           372486 |               66251 |             427738 |             427967 |              821158 |        160176 |        141008 |            1232000 |              1360252 |           158240 |           217785 |       32056 |        757 |        5301 |        2936 |              14 |                 0 |             1020 |            16090 |          3939 |               0 |             6908 |              7530 |       24034 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 E      |       1751446 |       2333733 |       14515603 |     653458 |    1810747 |     4331478 |     146235 |    1571777 |      390127 |        1662904 |                1318647 |         695554 |          15014 |        1502408 |          98960 |         485256 |     5733226 |     271401 |    1032010 |     1452877 |           525181 |           403945 |               70833 |             453942 |             436939 |              801156 |        178720 |        147333 |            1216390 |              1360252 |           169433 |           203370 |       47251 |       2685 |        5656 |        4481 |             563 |                 0 |                0 |            25170 |          4148 |               0 |             4840 |              5682 |       26171 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 F      |       1619619 |       2274761 |       14135543 |     644259 |    1813564 |     4259656 |     135197 |    1552655 |      389844 |        1653093 |                1302334 |         668334 |          13173 |        1504874 |          81135 |         457511 |     5588568 |     268623 |    1041240 |     1428924 |           475512 |           388720 |               69701 |             418914 |             421127 |              783412 |        161771 |        165619 |            1186237 |              1325591 |           164151 |           212038 |       32264 |        816 |        5022 |        4936 |               2 |                 0 |                0 |            22481 |          5507 |             646 |             3300 |              5966 |       19334 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 G      |       1634498 |       2276573 |       14533367 |     614445 |    1772712 |     4165620 |     132733 |    1542350 |      329103 |        1626694 |                1299347 |         677253 |          12720 |        1468305 |          69797 |         444795 |     5622027 |     266480 |     996481 |     1266061 |           484284 |           372781 |               65309 |             391728 |             419674 |              750304 |        144811 |        136428 |            1043112 |              1106717 |           111230 |           212430 |       23847 |          2 |        5742 |        5067 |            2117 |                 0 |                0 |            16486 |          2077 |             203 |             6057 |              3017 |       18091 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 H      |       1322798 |       1850381 |       11410257 |     530424 |    1441428 |     3254308 |     117873 |    1277000 |      264326 |        1337969 |                1074993 |         585501 |          14585 |        1223490 |          79267 |         403469 |     4390946 |     227742 |     855914 |     1028777 |           422167 |           338586 |               62797 |             348666 |             339648 |              598405 |        143315 |        116478 |             846742 |               911205 |           102731 |           169854 |       37005 |          0 |        7872 |        8745 |            1655 |                 0 |                0 |            15529 |          3291 |               0 |             3571 |              2528 |        9915 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 I      |       1141398 |       1602741 |       11717974 |     428521 |    1220664 |     3009168 |      83998 |     999216 |      222372 |        1093069 |                 928355 |         457060 |           9022 |         959943 |          43180 |         261154 |     4174465 |     174606 |     660417 |      711215 |           310106 |           218015 |               34475 |             222470 |             247154 |              452155 |         90690 |         66964 |             571828 |               612905 |            70319 |           150725 |       17679 |       1123 |        3401 |        5590 |            1572 |                 0 |                0 |             8725 |          1949 |             573 |             1742 |              2290 |        8712 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
