 sample | region_wa_hit | region_ea_hit | region_sea_hit | vra_wa_hit | vra_ea_hit | vra_sea_hit | wra_wa_hit | wra_ea_hit | wra_sea_hit | hra_ea_old_hit | hra_ea_old_nowedge_hit | hra_ea_new_hit | ibf_woa_ea_hit | ibf_xrz_ea_hit | ibf_hra_wa_hit | ibf_hra_ea_hit | aoi_sea_hit | jcc_wa_hit | jcc_ea_hit | jcc_sea_hit | atalanta_red_hit | atalanta_goa_hit | atalanta_somali_hit | atalanta_south_hit | atalanta_north_hit | atalanta_indian_hit | irtc_east_hit | irtc_west_hit | strait_malacca_hit | strait_singapore_hit | strait_sunda_hit | bgd_vicinity_hit | nga_naa_hit | nga_la_hit | nga_sts_hit | nga_saa_hit | nga_saa_mez_hit | ben_1_storage_hit | ben_2_tanker_hit | ben_3_tanker_hit | ben_4_sts_hit | tgo_waiting_hit | tgo_berthing_hit | gha_anchorage_hit | gha_sts_hit | region_wa_cov | region_ea_cov | region_sea_cov | vra_wa_cov | vra_ea_cov | vra_sea_cov | wra_wa_cov | wra_ea_cov | wra_sea_cov | hra_ea_old_cov | hra_ea_old_nowedge_cov | hra_ea_new_cov | ibf_woa_ea_cov | ibf_xrz_ea_cov | ibf_hra_wa_cov | ibf_hra_ea_cov | aoi_sea_cov | bgd_vicinity_cov 
--------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------+------------+-------------+------------------+------------------+---------------------+--------------------+--------------------+---------------------+---------------+---------------+--------------------+----------------------+------------------+------------------+-------------+------------+-------------+-------------+-----------------+-------------------+------------------+------------------+---------------+-----------------+------------------+-------------------+-------------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------------
 B      |        595956 |       1274948 |        3450360 |     350745 |    1153841 |     1850193 |     176688 |     917437 |       38779 |        1066368 |                1032601 |         411927 |           3232 |         990782 |          93804 |         240538 |     1947355 |     215658 |     706457 |      976308 |           228520 |           189010 |               38586 |             216758 |             585504 |              574914 |         91000 |         97936 |             654039 |               929628 |           105900 |            67771 |       57914 |      10818 |       40557 |       16375 |            4870 |                 0 |                0 |             3006 |           223 |               0 |            52933 |              1596 |        7898 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 C      |        629926 |       1336558 |        3642695 |     360471 |    1207915 |     1873116 |     185494 |     962139 |       40819 |        1121845 |                1075284 |         442077 |           3257 |        1035451 |         102771 |         253698 |     2016065 |     225559 |     734210 |     1009234 |           248033 |           196907 |               40142 |             226478 |             605868 |              591693 |         98814 |        104762 |             685465 |               970730 |            92250 |            78650 |       61636 |      12742 |       43081 |       19163 |            7183 |                 0 |              783 |             5593 |          1695 |               0 |            64069 |              4451 |        5962 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 D      |        677960 |       1406688 |        3771168 |     396597 |    1264356 |     1941818 |     191454 |    1036869 |       37514 |        1180985 |                1131232 |         469878 |           3076 |        1093042 |         111076 |         252675 |     2074968 |     234216 |     785528 |     1034182 |           253830 |           194421 |               35992 |             237096 |             609822 |              603866 |         95311 |        103348 |             677865 |               980393 |            91272 |            79493 |       60174 |      11516 |       44357 |       19718 |            3071 |                 0 |                0 |             3566 |          1705 |             551 |            65999 |              2400 |        9389 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 E      |        655128 |       1351664 |        3751089 |     382133 |    1219381 |     1900876 |     183068 |     995922 |       39951 |        1138564 |                1090515 |         432716 |           2746 |        1061197 |         102576 |         240993 |     2020317 |     226126 |     769172 |     1003872 |           238135 |           196234 |               30885 |             247950 |             608832 |              613281 |         90076 |        106715 |             698432 |               954753 |            91651 |            77498 |       53780 |      13774 |       40803 |       20421 |            8850 |                 0 |                0 |             2511 |          1684 |             927 |            61813 |              1119 |        9156 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 F      |        635649 |       1305711 |        3669792 |     385493 |    1203806 |     1882680 |     181182 |     953930 |       42027 |        1112987 |                1064921 |         414092 |           2288 |        1034198 |         104196 |         235444 |     1985547 |     234147 |     719040 |      959949 |           224775 |           182888 |               40139 |             217586 |             583517 |              562535 |         85085 |        102111 |             645811 |               918086 |            88252 |            70602 |       54454 |       9882 |       41722 |       17327 |            7928 |               408 |                0 |             4739 |          1674 |             959 |            62276 |              4041 |       10790 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 G      |        621749 |       1318370 |        3662871 |     373491 |    1199133 |     1821361 |     180289 |     957761 |       33445 |        1107812 |                1064011 |         391340 |           6295 |        1036513 |          99300 |         225328 |     1974605 |     223449 |     722050 |      935031 |           223281 |           180134 |               31048 |             191714 |             576132 |              580774 |         83845 |         95922 |             630824 |               843616 |            81775 |            69629 |       50086 |       8389 |       24038 |       11249 |            2856 |                 0 |                0 |             3027 |             0 |             458 |            52308 |              2969 |        3609 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 H      |        518838 |       1051583 |        2736284 |     287139 |     951568 |     1399510 |     144457 |     785003 |       19937 |         885379 |                 844126 |         336866 |           4610 |         833224 |          75305 |         192017 |     1504040 |     184638 |     579257 |      745747 |           194940 |           149228 |               30498 |             163577 |             466429 |              456316 |         66499 |         90893 |             483743 |               678074 |            65120 |            52750 |       43270 |       8451 |       26062 |       13125 |            4943 |                 0 |              783 |             3286 |             0 |               0 |            51849 |              1661 |        4216 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 I      |        468360 |        986478 |        2891012 |     260330 |     883999 |     1362749 |     127045 |     664077 |       18346 |         791427 |                 764906 |         274506 |           2081 |         726352 |          65725 |         141126 |     1460711 |     162508 |     475362 |      596067 |           165077 |           107238 |               19576 |             117545 |             341368 |              324847 |         39081 |         57367 |             334176 |               546730 |            46858 |            43233 |       33184 |       7266 |       17181 |        4242 |            1643 |                 0 |                0 |             2210 |             0 |               0 |            33926 |              1224 |        2007 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 J      |        402088 |        875858 |        2758158 |     219644 |     772659 |     1218329 |      96765 |     509064 |       12551 |         652956 |                 639554 |         181152 |           1071 |         572366 |          56550 |          81955 |     1324998 |     126002 |     321656 |      441574 |           116421 |            59654 |               10572 |              58783 |             212530 |              210158 |         19179 |         29928 |             220793 |               395539 |            36965 |            36327 |       29240 |       4510 |       12708 |        8746 |            3036 |                 0 |                0 |             1395 |             0 |               0 |            26148 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
