 sample | region_wa_hit | region_ea_hit | region_sea_hit | vra_wa_hit | vra_ea_hit | vra_sea_hit | wra_wa_hit | wra_ea_hit | wra_sea_hit | hra_ea_old_hit | hra_ea_old_nowedge_hit | hra_ea_new_hit | ibf_woa_ea_hit | ibf_xrz_ea_hit | ibf_hra_wa_hit | ibf_hra_ea_hit | aoi_sea_hit | jcc_wa_hit | jcc_ea_hit | jcc_sea_hit | atalanta_red_hit | atalanta_goa_hit | atalanta_somali_hit | atalanta_south_hit | atalanta_north_hit | atalanta_indian_hit | irtc_east_hit | irtc_west_hit | strait_malacca_hit | strait_singapore_hit | strait_sunda_hit | bgd_vicinity_hit | nga_naa_hit | nga_la_hit | nga_sts_hit | nga_saa_hit | nga_saa_mez_hit | ben_1_storage_hit | ben_2_tanker_hit | ben_3_tanker_hit | ben_4_sts_hit | tgo_waiting_hit | tgo_berthing_hit | gha_anchorage_hit | gha_sts_hit | region_wa_cov | region_ea_cov | region_sea_cov | vra_wa_cov | vra_ea_cov | vra_sea_cov | wra_wa_cov | wra_ea_cov | wra_sea_cov | hra_ea_old_cov | hra_ea_old_nowedge_cov | hra_ea_new_cov | ibf_woa_ea_cov | ibf_xrz_ea_cov | ibf_hra_wa_cov | ibf_hra_ea_cov | aoi_sea_cov | bgd_vicinity_cov 
--------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------+------------+-------------+------------------+------------------+---------------------+--------------------+--------------------+---------------------+---------------+---------------+--------------------+----------------------+------------------+------------------+-------------+------------+-------------+-------------+-----------------+-------------------+------------------+------------------+---------------+-----------------+------------------+-------------------+-------------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------------
 A      |             0 |             0 |             18 |          0 |          0 |          18 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |          18 |          0 |          0 |           0 |                0 |                0 |                   0 |                  0 |                  0 |                   0 |             0 |             0 |                  0 |                    0 |                0 |                0 |           0 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 B      |       1994314 |       3140974 |        9907713 |     843780 |    2594379 |     5295526 |     256527 |    2224441 |      391272 |        2419186 |                2098486 |        1004326 |           9078 |        2224556 |         151133 |         662743 |     5492352 |     388953 |    1593669 |     2143759 |           670385 |           556284 |              102005 |             587078 |             949803 |             1233396 |        241808 |        240222 |            1687545 |              1999449 |           250214 |           263357 |       82069 |      10863 |       44127 |       17480 |            5196 |                 0 |              798 |            14080 |          2291 |             856 |            50959 |              8298 |       28072 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 C      |       2044636 |       3202223 |       10888694 |     875386 |    2678887 |     5401183 |     274989 |    2264057 |      431208 |        2519568 |                2201202 |        1022370 |          12362 |        2288232 |         163006 |         669088 |     5708027 |     413486 |    1645253 |     2240714 |           679222 |           546752 |              110328 |             604943 |             967457 |             1314772 |        238631 |        253134 |            1759489 |              2123443 |           259506 |           268751 |       87110 |      13498 |       43803 |       22915 |            7113 |                 0 |             1308 |            15451 |          5437 |               0 |            61282 |              9758 |       26269 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 D      |       2242951 |       3526394 |       11295151 |     971190 |    2913449 |     5719621 |     297731 |    2548652 |      374073 |        2759920 |                2344405 |        1086952 |          12605 |        2526548 |         178097 |         661564 |     6003859 |     453704 |    1772472 |     2325842 |           723243 |           543146 |               97173 |             643953 |             992345 |             1341414 |        247222 |        232226 |            1824291 |              2169154 |           229253 |           280196 |       79752 |      11280 |       45217 |       21301 |            3020 |                 0 |             1020 |            18412 |          5573 |               0 |            67467 |              9061 |       31006 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 E      |       2233201 |       3392940 |       11136683 |     939128 |    2779084 |     5568707 |     295300 |    2424628 |      414156 |        2625345 |                2240719 |        1071742 |          12965 |        2413553 |         180893 |         692103 |     5907009 |     445478 |    1721778 |     2274379 |           718386 |           575262 |               96222 |             681259 |            1002865 |             1335900 |        262068 |        244358 |            1829307 |              2142609 |           237886 |           269265 |       91371 |      15030 |       41522 |       24288 |            8870 |                 0 |                0 |            27046 |          5807 |             926 |            60323 |              6436 |       33094 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 F      |       2091497 |       3266247 |       10979292 |     933034 |    2739058 |     5462281 |     284147 |    2348236 |      414740 |        2574377 |                2184482 |        1027119 |          13527 |        2370860 |         168515 |         662171 |     5737003 |     448690 |    1678411 |     2196695 |           660194 |           543962 |              107384 |             615443 |             957475 |             1264467 |        236687 |        254306 |            1743334 |              2059946 |           228023 |           263528 |       78396 |       9324 |       43022 |       21670 |            7779 |                 0 |                0 |            26528 |          7176 |             646 |            61023 |              9555 |       29107 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 G      |       2121607 |       3319520 |       10984170 |     909631 |    2725423 |     5355160 |     286281 |    2361724 |      350019 |        2569194 |                2205371 |        1017830 |          15888 |        2357142 |         152958 |         642973 |     5721536 |     448511 |    1640828 |     2013920 |           679619 |           530848 |               92547 |             562876 |             952387 |             1251959 |        220417 |        224978 |            1594389 |              1775744 |           175778 |           261664 |       65765 |       8371 |       27360 |       15884 |            4824 |                 0 |                0 |            19128 |          2077 |             661 |            53966 |              5045 |       20578 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 H      |       1736768 |       2683928 |        8255577 |     752816 |    2194605 |     4123608 |     236554 |    1942637 |      273288 |        2081682 |                1787176 |         874576 |          15885 |        1929275 |         138376 |         570814 |     4360509 |     373377 |    1363436 |     1620800 |           590436 |           469205 |               88193 |             493604 |             769265 |              991211 |        203469 |        199730 |            1258248 |              1446150 |           152623 |           205356 |       72570 |       7956 |       31544 |       21422 |            6199 |                 0 |                0 |            17838 |          3288 |               0 |            52890 |              3910 |       13639 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 I      |       1507968 |       2390833 |        8827722 |     628959 |    1929652 |     3895202 |     190827 |    1569316 |      231365 |        1764387 |                1575705 |         690480 |           7341 |        1580254 |          95645 |         380228 |     4136549 |     303523 |    1082045 |     1174489 |           448524 |           309612 |               52446 |             325316 |             561239 |              726783 |        124688 |        117924 |             861275 |              1036068 |           107859 |           181990 |       43080 |       8375 |       19429 |        9346 |            3214 |                 0 |                0 |            10660 |          1948 |             573 |            34473 |              3504 |        9498 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
