 sample | region_wa_hit | region_ea_hit | region_sea_hit | vra_wa_hit | vra_ea_hit | vra_sea_hit | wra_wa_hit | wra_ea_hit | wra_sea_hit | hra_ea_old_hit | hra_ea_old_nowedge_hit | hra_ea_new_hit | ibf_woa_ea_hit | ibf_xrz_ea_hit | ibf_hra_wa_hit | ibf_hra_ea_hit | aoi_sea_hit | jcc_wa_hit | jcc_ea_hit | jcc_sea_hit | atalanta_red_hit | atalanta_goa_hit | atalanta_somali_hit | atalanta_south_hit | atalanta_north_hit | atalanta_indian_hit | irtc_east_hit | irtc_west_hit | strait_malacca_hit | strait_singapore_hit | strait_sunda_hit | bgd_vicinity_hit | nga_naa_hit | nga_la_hit | nga_sts_hit | nga_saa_hit | nga_saa_mez_hit | ben_1_storage_hit | ben_2_tanker_hit | ben_3_tanker_hit | ben_4_sts_hit | tgo_waiting_hit | tgo_berthing_hit | gha_anchorage_hit | gha_sts_hit | region_wa_cov | region_ea_cov | region_sea_cov | vra_wa_cov | vra_ea_cov | vra_sea_cov | wra_wa_cov | wra_ea_cov | wra_sea_cov | hra_ea_old_cov | hra_ea_old_nowedge_cov | hra_ea_new_cov | ibf_woa_ea_cov | ibf_xrz_ea_cov | ibf_hra_wa_cov | ibf_hra_ea_cov | aoi_sea_cov | bgd_vicinity_cov 
--------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------+------------+-------------+------------------+------------------+---------------------+--------------------+--------------------+---------------------+---------------+---------------+--------------------+----------------------+------------------+------------------+-------------+------------+-------------+-------------+-----------------+-------------------+------------------+------------------+---------------+-----------------+------------------+-------------------+-------------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------------
 B      |         31759 |         40004 |         379444 |      25920 |      35877 |      127576 |      13422 |      12550 |         999 |          17047 |                  17045 |           5057 |              0 |          14707 |          11863 |            769 |      166147 |      14426 |       6204 |       14246 |             1528 |              750 |                  38 |                 85 |               2813 |                5716 |           729 |           729 |               5563 |                13538 |            11848 |               23 |          32 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 C      |         36482 |         41848 |         443007 |      27377 |      38196 |      132473 |      15179 |      14031 |         731 |          19030 |                  19029 |           5230 |              0 |          15641 |          12300 |            972 |      171005 |      16173 |       7323 |       13635 |             2120 |              728 |                   4 |                 10 |               3112 |                7826 |           728 |             0 |               6402 |                13635 |            14636 |               22 |         533 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           1 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 D      |         39468 |         43269 |         462201 |      28050 |      38959 |      130395 |      16212 |      14472 |         702 |          19702 |                  19701 |           5432 |              0 |          15745 |          12628 |           2629 |      173156 |      17206 |       7899 |       13295 |             4813 |             2389 |                   0 |                349 |               3924 |                6892 |           727 |          2389 |               4906 |                13010 |            10494 |                0 |           0 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 E      |         35084 |         40936 |         456235 |      29803 |      36431 |      127250 |      16923 |      14084 |         729 |          18054 |                  18044 |           4027 |              0 |          15365 |          14264 |           1207 |      169944 |      18252 |       6511 |       14002 |             2334 |             1207 |                   0 |                463 |               3465 |                7406 |             0 |           479 |               4806 |                13655 |            11177 |                2 |          11 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 F      |         35636 |         36130 |         446512 |      29384 |      31167 |      127115 |      17026 |       9374 |         730 |          12615 |                  12603 |           3509 |              0 |          10708 |          13821 |            730 |      171445 |      18617 |       5564 |       13107 |             2179 |                2 |                   0 |                  3 |               1980 |                3804 |             2 |             0 |               4591 |                12820 |            10944 |                2 |           0 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           1 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 G      |         33530 |         38274 |         449840 |      28988 |      32516 |      128014 |      16505 |      10354 |         696 |          13324 |                  13321 |           3472 |              0 |          11413 |          11026 |            731 |      169561 |      17416 |       5725 |       13076 |             2187 |                2 |                   2 |                 11 |               1410 |                4601 |             0 |             1 |               3630 |                13076 |            11549 |                3 |           0 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 H      |         23362 |         24286 |         335180 |      20609 |      22182 |       91188 |      12290 |       7894 |         701 |          10657 |                  10657 |           3081 |              0 |           9631 |           8467 |            730 |      131306 |      12696 |       4313 |        8997 |             1305 |                3 |                   0 |                  6 |               2034 |                3585 |             0 |             1 |               2878 |                 8711 |             8032 |                1 |           0 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |               28 |                 0 |           1 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 I      |         27463 |         26309 |         375267 |      22452 |      23962 |      103210 |      12855 |       7565 |         819 |          10467 |                  10465 |           2138 |            727 |           9434 |           9446 |            727 |      145760 |      13370 |       3372 |        9559 |             1299 |                0 |                   0 |                  2 |               1424 |                4197 |             0 |             0 |               3315 |                 9167 |            10061 |                1 |         875 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 J      |         25331 |         28264 |         361300 |      19162 |      25915 |       97302 |       9827 |       8682 |         787 |          12769 |                  12769 |           3822 |              0 |          10514 |           6314 |            967 |      138655 |      10231 |       4499 |        9011 |             1758 |                0 |                   0 |                  2 |               1411 |                4183 |             0 |             0 |               1980 |                 9010 |             8341 |                1 |         875 |          0 |           0 |         875 |               0 |                 0 |                0 |                0 |             0 |               0 |                1 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
