 sample | region_wa_hit | region_ea_hit | region_sea_hit | vra_wa_hit | vra_ea_hit | vra_sea_hit | wra_wa_hit | wra_ea_hit | wra_sea_hit | hra_ea_old_hit | hra_ea_old_nowedge_hit | hra_ea_new_hit | ibf_woa_ea_hit | ibf_xrz_ea_hit | ibf_hra_wa_hit | ibf_hra_ea_hit | aoi_sea_hit | jcc_wa_hit | jcc_ea_hit | jcc_sea_hit | atalanta_red_hit | atalanta_goa_hit | atalanta_somali_hit | atalanta_south_hit | atalanta_north_hit | atalanta_indian_hit | irtc_east_hit | irtc_west_hit | strait_malacca_hit | strait_singapore_hit | strait_sunda_hit | bgd_vicinity_hit | nga_naa_hit | nga_la_hit | nga_sts_hit | nga_saa_hit | nga_saa_mez_hit | ben_1_storage_hit | ben_2_tanker_hit | ben_3_tanker_hit | ben_4_sts_hit | tgo_waiting_hit | tgo_berthing_hit | gha_anchorage_hit | gha_sts_hit | region_wa_cov | region_ea_cov | region_sea_cov | vra_wa_cov | vra_ea_cov | vra_sea_cov | wra_wa_cov | wra_ea_cov | wra_sea_cov | hra_ea_old_cov | hra_ea_old_nowedge_cov | hra_ea_new_cov | ibf_woa_ea_cov | ibf_xrz_ea_cov | ibf_hra_wa_cov | ibf_hra_ea_cov | aoi_sea_cov | bgd_vicinity_cov 
--------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------+------------+-------------+------------------+------------------+---------------------+--------------------+--------------------+---------------------+---------------+---------------+--------------------+----------------------+------------------+------------------+-------------+------------+-------------+-------------+-----------------+-------------------+------------------+------------------+---------------+-----------------+------------------+-------------------+-------------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------------
 B      |         12785 |         26860 |          91784 |       8743 |      26355 |       12167 |       1360 |       5873 |           1 |           8920 |                   8920 |            826 |              0 |           7076 |           1307 |            541 |       28721 |       4346 |        839 |        3993 |              705 |              534 |                   0 |                127 |                 10 |                5047 |             0 |             0 |                648 |                 3993 |                4 |              216 |         487 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |               21 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 C      |         12417 |         26438 |         118839 |       9056 |      26042 |       11941 |        964 |       6556 |           0 |           9642 |                   9642 |           1479 |              7 |           7708 |            911 |             32 |       31364 |       4457 |       1486 |        3637 |              866 |               29 |                   1 |                139 |               1290 |                5099 |             2 |            20 |                615 |                 3637 |               43 |              216 |         488 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |               21 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 D      |         12795 |         27522 |         129875 |       8801 |      26960 |       15947 |        977 |       7359 |           0 |          11081 |                  11081 |           3283 |              7 |           9194 |            903 |           1284 |       36517 |       5153 |       3288 |        4064 |             1599 |             1005 |                 279 |                280 |               2765 |                5312 |             0 |           464 |               1950 |                 4063 |               20 |              686 |         487 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |               21 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 E      |         10680 |         27775 |         127326 |       8152 |      27525 |       15203 |        924 |       6382 |           6 |           8798 |                   8731 |           1631 |              7 |           7343 |            903 |            541 |       35591 |       4486 |       1779 |        4431 |              708 |              541 |                   0 |                 13 |               1163 |                4513 |             0 |             0 |                901 |                 3884 |               72 |              225 |         487 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |               21 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 F      |          8803 |         28304 |         125887 |       6976 |      27149 |       16799 |       2066 |       6684 |           0 |           8548 |                   8396 |           1270 |              7 |           7045 |            940 |            548 |       37331 |       4497 |       1669 |        5595 |              811 |              548 |                   0 |                596 |                367 |                4368 |             7 |             0 |               1894 |                 5552 |              146 |              225 |         487 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                3 |                40 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 G      |          9871 |         27190 |         127873 |       6354 |      26701 |       15197 |       1104 |       5380 |           0 |           6940 |                   6940 |           1236 |              7 |           5535 |           1030 |            286 |       36617 |       3487 |       1655 |        4865 |              707 |                7 |                 279 |                120 |                428 |                3739 |             0 |             0 |                897 |                 4757 |                9 |                9 |         487 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |               21 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 H      |          4965 |         18602 |          89553 |       3673 |      18596 |       12806 |        846 |       2144 |           0 |           4336 |                   4336 |             15 |              0 |           3264 |            259 |             15 |       28336 |       2693 |         21 |        3707 |               12 |                9 |                   6 |                  2 |                 17 |                2135 |             0 |             9 |               1956 |                 3701 |                0 |                0 |           0 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |          40 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 I      |          7287 |         24019 |          96953 |       4902 |      23324 |       10078 |        712 |       3295 |           0 |           6155 |                   6155 |            534 |              0 |           3608 |            670 |            526 |       26949 |       3095 |        781 |        2030 |             1520 |              526 |                   0 |                532 |                252 |                3136 |             0 |           526 |               1634 |                 2021 |                0 |              543 |           0 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |               21 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 J      |          7559 |         22393 |          94123 |       4055 |      21872 |       10989 |         34 |       2788 |         506 |           4962 |                   4962 |            258 |              0 |           2788 |             34 |            256 |       27407 |       1850 |        261 |        4207 |             1111 |              256 |                   0 |                  1 |                  0 |                2530 |             0 |             6 |                352 |                 3732 |                0 |                0 |          22 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
