 sample | region_wa_hit | region_ea_hit | region_sea_hit | vra_wa_hit | vra_ea_hit | vra_sea_hit | wra_wa_hit | wra_ea_hit | wra_sea_hit | hra_ea_old_hit | hra_ea_old_nowedge_hit | hra_ea_new_hit | ibf_woa_ea_hit | ibf_xrz_ea_hit | ibf_hra_wa_hit | ibf_hra_ea_hit | aoi_sea_hit | jcc_wa_hit | jcc_ea_hit | jcc_sea_hit | atalanta_red_hit | atalanta_goa_hit | atalanta_somali_hit | atalanta_south_hit | atalanta_north_hit | atalanta_indian_hit | irtc_east_hit | irtc_west_hit | strait_malacca_hit | strait_singapore_hit | strait_sunda_hit | bgd_vicinity_hit | nga_naa_hit | nga_la_hit | nga_sts_hit | nga_saa_hit | nga_saa_mez_hit | ben_1_storage_hit | ben_2_tanker_hit | ben_3_tanker_hit | ben_4_sts_hit | tgo_waiting_hit | tgo_berthing_hit | gha_anchorage_hit | gha_sts_hit | region_wa_cov | region_ea_cov | region_sea_cov | vra_wa_cov | vra_ea_cov | vra_sea_cov | wra_wa_cov | wra_ea_cov | wra_sea_cov | hra_ea_old_cov | hra_ea_old_nowedge_cov | hra_ea_new_cov | ibf_woa_ea_cov | ibf_xrz_ea_cov | ibf_hra_wa_cov | ibf_hra_ea_cov | aoi_sea_cov | bgd_vicinity_cov 
--------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------+------------+-------------+------------------+------------------+---------------------+--------------------+--------------------+---------------------+---------------+---------------+--------------------+----------------------+------------------+------------------+-------------+------------+-------------+-------------+-----------------+-------------------+------------------+------------------+---------------+-----------------+------------------+-------------------+-------------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------------
 A      |             0 |             0 |              2 |          0 |          0 |           2 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           2 |          0 |          0 |           0 |                0 |                0 |                   0 |                  0 |                  0 |                   0 |             0 |             0 |                  2 |                    0 |                0 |                0 |           0 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 B      |        100989 |        218952 |         450283 |      78511 |     206677 |       89908 |      19010 |      44971 |         731 |          63454 |                  62045 |           2493 |              0 |          48986 |          15490 |           1605 |      113996 |      37567 |       7546 |       20034 |             6087 |             1605 |                   0 |               1636 |               5524 |               36037 |          1605 |             0 |               7031 |                19643 |              130 |             2876 |        1098 |       1037 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |              594 |                 0 |         922 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 C      |         98253 |        219708 |         478087 |      79365 |     209234 |       96505 |      20046 |      43191 |         706 |          63929 |                  62739 |           3756 |              0 |          48025 |          16207 |           2858 |      125050 |      38185 |       5415 |       21340 |             6283 |             2234 |                 624 |               1697 |               3602 |               33516 |             1 |          1636 |               9099 |                21336 |               28 |             2300 |        1414 |        881 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |             1155 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 D      |        108867 |        221006 |         497165 |      79235 |     213583 |      102724 |      21081 |      43422 |         710 |          62238 |                  61271 |           3334 |              0 |          47119 |          13881 |           1756 |      136060 |      39419 |       4564 |       22537 |             6379 |             2353 |                   0 |               1016 |               4145 |               32728 |          1752 |           584 |               7310 |                21722 |              316 |             3330 |        1107 |        881 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |             1911 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 E      |        101266 |        215644 |         503018 |      76397 |     209442 |      107691 |      18740 |      43060 |           1 |          61176 |                  60242 |           4065 |              0 |          47461 |           9877 |           1161 |      139313 |      36090 |       7840 |       18250 |             4688 |             1161 |                 246 |               1075 |               6653 |               32496 |           563 |             1 |               5836 |                17951 |              173 |             4307 |           0 |          0 |         881 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |             2234 |                 0 |          36 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 F      |         98317 |        214419 |         491515 |      77036 |     209124 |      101428 |      19489 |      37250 |           0 |          56719 |                  56718 |           2183 |              0 |          40715 |          14149 |            450 |      133889 |      37721 |       3515 |       20968 |             5905 |              450 |                   0 |                 14 |               3420 |               29293 |           445 |             6 |               4876 |                20571 |              173 |             2296 |        1107 |        881 |           0 |           0 |             226 |                 0 |                0 |              202 |           428 |               0 |             2156 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 G      |         96878 |        208419 |         492479 |      72117 |     203582 |       96824 |      22467 |      36483 |           0 |          52831 |                  52830 |           2973 |              0 |          40078 |          13063 |           1117 |      133054 |      37784 |       3991 |       19400 |             6549 |             1368 |                   0 |                  3 |               4234 |               27324 |             5 |           654 |               2420 |                18810 |              140 |             3442 |        1204 |        881 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |             2479 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 H      |         68332 |        133812 |         371069 |      51619 |     129221 |       68956 |      15042 |      24130 |           0 |          33571 |                  33571 |           4696 |              0 |          25577 |          11567 |           3019 |       92547 |      26490 |       5574 |       15249 |             5265 |             3019 |                   0 |                617 |               3277 |               16754 |          1514 |          1258 |               4594 |                14100 |               11 |             2377 |         881 |        881 |           0 |           1 |               0 |                 0 |                0 |                0 |             0 |               0 |             1617 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 I      |         77619 |        153801 |         403646 |      55083 |     147539 |       68917 |      15175 |      23931 |         141 |          38514 |                  37691 |           3997 |              0 |          26791 |          12023 |           2113 |       95692 |      28061 |       5759 |       11440 |             4193 |             1626 |                 487 |                853 |               3539 |               17874 |           884 |          1626 |               2654 |                11116 |               22 |             1209 |           0 |        881 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |             1184 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
