 doy | total 
-----+-------
   0 |      
   1 |   377
   2 |   413
   3 |   405
   4 |   490
   5 |   496
   6 |   492
   7 |   501
   8 |   471
   9 |   573
  10 |   543
  11 |   619
  12 |   784
  13 |   617
  14 |   621
  15 |   766
  16 |   849
  17 |   971
  18 |  1148
  19 |  1109
  20 |   846
  21 |   814
  22 |   711
  23 |   759
  24 |   704
  25 |   594
  26 |   543
  27 |   370
  28 |   483
  29 |   911
  30 |   679
  31 |  1110
  32 |  1218
  33 |  1651
  34 |  1524
  35 |  2295
  36 |  3294
  37 |  6515
  38 | 40571
  39 | 42297
  40 | 40908
  41 | 41428
  42 | 42128
  43 | 41977
  44 | 43359
  45 | 43693
  46 | 45495
  47 | 45441
  48 | 44573
  49 | 43374
  50 | 41439
  51 | 41950
  52 | 43953
  53 | 43225
  54 | 41071
  55 | 32840
  56 |  7727
  57 | 24465
  58 |  2986
  59 |  4416
  60 | 28726
  61 | 44280
  62 | 44208
  63 | 45855
  64 | 43332
  65 | 42629
  66 | 40317
  67 | 43308
  68 | 44654
  69 | 44354
  70 | 42860
  71 | 42463
  72 | 43367
  73 | 43266
  74 | 45622
  75 | 49305
  76 | 51053
  77 | 50085
  78 | 52389
  79 | 49824
  80 | 47828
  81 |   764
  82 |   787
  83 |   839
  84 |   944
  85 |   981
  86 |  1217
  87 |  1487
  88 |  1814
  89 |  2335
  90 |  2574
  91 |  7170
  92 |  4051
  93 |  5511
  94 | 18885
  95 | 44886
  96 | 51606
  97 | 49147
  98 | 53035
  99 | 55810
 100 | 55082
 101 | 53963
 102 | 56810
 103 | 54879
 104 |  2464
 105 |  2784
 106 |  3755
 107 |  5289
 108 | 12617
 109 | 55446
 110 | 51485
 111 | 53646
 112 | 53110
 113 | 52439
 114 | 53805
 115 | 54169
 116 | 54140
 117 | 54657
 118 | 41172
 119 |  3081
 120 |  4559
 121 |  7537
 122 |  4568
 123 | 19422
 124 | 55049
 125 | 56059
 126 | 56768
 127 | 55321
 128 | 53441
 129 | 52932
 130 | 47228
 131 | 56826
 132 | 56939
 133 | 57074
 134 | 55999
 135 | 52194
 136 | 57309
 137 | 56178
 138 | 58062
 139 | 58515
 140 | 58248
 141 | 57033
 142 | 22427
 143 |  7293
 144 | 34007
 145 |   691
 146 |   804
 147 |  1016
 148 |   946
 149 |   833
 150 |   713
 151 |   894
 152 |  8847
 153 |  1550
 154 |  2070
 155 |  2664
 156 |  2944
 157 |  3445
 158 |  5506
 159 | 44011
 160 | 51994
 161 | 52249
 162 | 51754
 163 | 50696
 164 | 57315
 165 | 60814
 166 | 59400
 167 | 58562
 168 | 61028
 169 | 59080
 170 | 59052
 171 | 56960
 172 | 50716
 173 | 50506
 174 | 54249
 175 | 51082
 176 | 49996
 177 | 50825
 178 | 39001
 179 |  1894
 180 |  3165
 181 |  2745
 182 | 32798
 183 |  7271
 184 | 38491
 185 | 54411
 186 | 61376
 187 | 59248
 188 | 37642
 189 | 36530
 190 | 37094
 191 | 37171
 192 | 43737
 193 | 34269
 194 | 54267
 195 | 37608
 196 | 45960
 197 | 42027
 198 | 44152
 199 | 40500
 200 | 25547
 201 | 40882
 202 | 31730
 203 | 42202
 204 | 18946
 205 | 33700
 206 | 23849
 207 | 14989
 208 |  1536
 209 |  1775
 210 |  2251
 211 |  2947
 212 |  4055
 213 | 20916
 214 |  1659
 215 |  1804
 216 |  2341
 217 |  3018
 218 |  4565
 219 | 11189
 220 | 30961
 221 | 24882
 222 | 34251
 223 | 36024
 224 | 34568
 225 | 35616
 226 | 37018
 227 | 35882
 228 | 30829
 229 |  4230
 230 |  8155
 231 | 33531
 232 | 37047
 233 | 33788
 234 | 38253
 235 | 33282
 236 | 35663
 237 | 32926
 238 | 37374
 239 | 33866
 240 | 37929
 241 | 30767
 242 |  5423
 243 | 27721
 244 | 38480
 245 | 37662
 246 | 36765
 247 | 40088
 248 | 40225
 249 | 37522
 250 | 40885
 251 | 36688
 252 |  3411
 253 |  4464
 254 |  6393
 255 | 30852
 256 | 48387
 257 | 32576
 258 | 28550
 259 |   632
 260 |   607
 261 |   432
 262 |   436
 263 |   373
 264 |   356
 265 |   391
 266 |   563
 267 |   676
 268 |   595
 269 |   647
 270 |   686
 271 |   685
 272 |   815
 273 |  1079
 274 |  1066
 275 |   972
 276 |   970
 277 |   712
 278 |   886
 279 |  1046
 280 |  1168
 281 |  1386
 282 |  1473
 283 |  1625
 284 |  2241
 285 |  2197
 286 |  2580
 287 |  3020
 288 |  4146
 289 | 18018
 290 |  1339
 291 |  1397
 292 |  1525
 293 |  1600
 294 |  1876
 295 |  2662
 296 |  6557
 297 |  4155
 298 |  6000
 299 | 25635
 300 | 48630
 301 | 37348
 302 | 34229
 303 | 43778
 304 | 39677
 305 | 42362
 306 | 41677
 307 | 36421
 308 | 40463
 309 | 39584
 310 | 43950
 311 | 39267
 312 | 37143
 313 | 36363
 314 | 38672
 315 | 41334
 316 | 39105
 317 | 42019
 318 | 50493
 319 | 39259
 320 | 37731
 321 | 38136
 322 | 36296
 323 | 43396
 324 | 40540
 325 | 52619
 326 | 36591
 327 | 37163
 328 | 36055
 329 | 40251
 330 | 46858
 331 | 53327
 332 | 42783
 333 | 44686
 334 |      
 335 |      
 336 |      
 337 |      
 338 |      
 339 |      
 340 |      
 341 |      
 342 |      
 343 |      
 344 |      
 345 |      
 346 |      
 347 |      
 348 |      
 349 |      
 350 |      
 351 |      
 352 |      
 353 |      
 354 |      
 355 |      
 356 |      
 357 |      
 358 |      
 359 |      
 360 |      
 361 |      
 362 |      
 363 |      
 364 |      
 365 |      
 366 |      
(367 rows)

