 length  |  type  |    avg_speed     
---------+--------+------------------
 120-199 | Cargo  | 12.4528837473305
 120-199 | Tanker | 12.3958313478513
 200-299 | Cargo  | 14.2614272376871
 200-299 | Tanker | 13.0432307232516
 300+    | Cargo  | 17.9399312498445
 300+    | Tanker | 13.3500734374539
(6 rows)

 length  |  type  |    avg_speed     
---------+--------+------------------
 120-199 | Cargo  | 12.2996020614263
 120-199 | Tanker | 12.0994886659761
 200-299 | Cargo  | 12.8129777358744
 200-299 | Tanker | 12.7332523930645
 300+    | Tanker | 12.7285119052318
 300+    | Cargo  | 15.0958239918805
(6 rows)

