 sample | region_wa_hit | region_ea_hit | region_sea_hit | vra_wa_hit | vra_ea_hit | vra_sea_hit | wra_wa_hit | wra_ea_hit | wra_sea_hit | hra_ea_old_hit | hra_ea_old_nowedge_hit | hra_ea_new_hit | ibf_woa_ea_hit | ibf_xrz_ea_hit | ibf_hra_wa_hit | ibf_hra_ea_hit | aoi_sea_hit | jcc_wa_hit | jcc_ea_hit | jcc_sea_hit | atalanta_red_hit | atalanta_goa_hit | atalanta_somali_hit | atalanta_south_hit | atalanta_north_hit | atalanta_indian_hit | irtc_east_hit | irtc_west_hit | strait_malacca_hit | strait_singapore_hit | strait_sunda_hit | bgd_vicinity_hit | nga_naa_hit | nga_la_hit | nga_sts_hit | nga_saa_hit | nga_saa_mez_hit | ben_1_storage_hit | ben_2_tanker_hit | ben_3_tanker_hit | ben_4_sts_hit | tgo_waiting_hit | tgo_berthing_hit | gha_anchorage_hit | gha_sts_hit | region_wa_cov | region_ea_cov | region_sea_cov | vra_wa_cov | vra_ea_cov | vra_sea_cov | wra_wa_cov | wra_ea_cov | wra_sea_cov | hra_ea_old_cov | hra_ea_old_nowedge_cov | hra_ea_new_cov | ibf_woa_ea_cov | ibf_xrz_ea_cov | ibf_hra_wa_cov | ibf_hra_ea_cov | aoi_sea_cov | bgd_vicinity_cov 
--------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------+------------+-------------+------------------+------------------+---------------------+--------------------+--------------------+---------------------+---------------+---------------+--------------------+----------------------+------------------+------------------+-------------+------------+-------------+-------------+-----------------+-------------------+------------------+------------------+---------------+-----------------+------------------+-------------------+-------------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------------
 A      |             0 |             0 |             18 |          0 |          0 |          18 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |          18 |          0 |          0 |           0 |                0 |                0 |                   0 |                  0 |                  0 |                   0 |             0 |             0 |                  0 |                    0 |                0 |                0 |           0 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 B      |       2123569 |       3386548 |       13884962 |     915148 |    2807981 |     5814978 |     278700 |    2351417 |      403616 |        2573143 |                2244455 |        1052272 |          10791 |        2359317 |         163658 |         690965 |     6825262 |     426520 |    1664409 |     2287545 |           704823 |           577704 |              105838 |             603828 |             989198 |             1307140 |        252663 |        247568 |            1768604 |              2135222 |           273694 |           280518 |       87882 |      10892 |       47682 |       18682 |            5639 |                 0 |              831 |            15181 |          2722 |             859 |            54612 |              8811 |       29959 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 C      |       2183244 |       3441702 |       16461432 |     949829 |    2883552 |     5935018 |     297645 |    2386962 |      445010 |        2665450 |                2340548 |        1075152 |          13694 |        2417650 |         177733 |         694684 |     7170370 |     450380 |    1713840 |     2379155 |           711583 |           564219 |              115027 |             627193 |            1003899 |             1378401 |        247450 |        259394 |            1835780 |              2253535 |           277199 |           286738 |       92627 |      14739 |       45454 |       22923 |            7121 |                 0 |             2088 |            17085 |          5507 |               0 |            66696 |              9788 |       26797 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 D      |       2381871 |       3776701 |       17539699 |    1050589 |    3125445 |     6264379 |     323032 |    2677687 |      384645 |        2910629 |                2487057 |        1132726 |          13520 |        2662062 |         194469 |         688623 |     7588581 |     496627 |    1843364 |     2461443 |           753190 |           562192 |              100611 |             662626 |            1030983 |             1411990 |        253761 |        242561 |            1900588 |              2295705 |           246148 |           296108 |       88671 |      12050 |       48338 |       22607 |            3039 |                 0 |             1020 |            19655 |          5644 |             551 |            72430 |              9930 |       32855 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 E      |       2379542 |       3633050 |       17515854 |    1016309 |    2980865 |     6122304 |     319862 |    2541854 |      427438 |        2768604 |                2377659 |        1117211 |          16659 |        2536676 |         194797 |         719099 |     7563415 |     485399 |    1787466 |     2411956 |           753544 |           595471 |              100104 |             698787 |            1037110 |             1401257 |        267521 |        253366 |            1905736 |              2270667 |           257644 |           279309 |       97467 |      16100 |       44380 |       24835 |            9413 |                 0 |                0 |            27375 |          5832 |             927 |            65440 |              6541 |       35304 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 F      |       2230037 |       3531562 |       17093600 |    1012774 |    2970863 |     6032657 |     308216 |    2484882 |      428679 |        2736648 |                2339040 |        1075023 |          14666 |        2515304 |         179879 |         688297 |     7385862 |     491021 |    1749252 |     2343467 |           692475 |           567694 |              109406 |             634883 |             998386 |             1333283 |        245196 |        265835 |            1825324 |              2198346 |           248118 |           280466 |       83615 |      10016 |       45942 |       22195 |            7928 |               408 |                0 |            27061 |          7181 |            1605 |            65449 |              9705 |       30100 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 G      |       2231625 |       3548593 |       17437098 |     971706 |    2928994 |     5881953 |     305327 |    2478681 |      360385 |        2706920 |                2336548 |        1060475 |          18195 |        2481515 |         163458 |         666231 |     7407701 |     478982 |    1707018 |     2155316 |           701447 |           550055 |               95532 |             582138 |             989390 |             1318920 |        227934 |        231673 |            1664232 |              1905719 |           189389 |           280935 |       71406 |       8391 |       29019 |       16270 |            4973 |                 0 |                0 |            19208 |          2077 |             661 |            56771 |              5986 |       21677 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 H      |       1822939 |       2867286 |       13528995 |     803451 |    2360591 |     4570608 |     254904 |    2043725 |      282879 |        2200425 |                1896944 |         913679 |          16813 |        2036515 |         148764 |         589943 |     5737593 |     401843 |    1424778 |     1739711 |           611689 |           483998 |               92997 |             510781 |             801021 |             1044527 |        209350 |        206063 |            1322932 |              1555574 |           165085 |           221711 |       77035 |       7974 |       32766 |       21824 |            6598 |                 0 |              780 |            18729 |          3291 |               0 |            54327 |              4189 |       14131 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 I      |       1591628 |       2551513 |       14013152 |     676262 |    2070017 |     4287951 |     204203 |    1646117 |      239514 |        1861604 |                1670975 |         725897 |           9552 |        1667618 |         104144 |         399071 |     5481166 |     328286 |    1127558 |     1274792 |           468977 |           323457 |               53645 |             338795 |             585222 |              765384 |        129654 |        123802 |             901732 |              1127488 |           114820 |           193385 |       47742 |       8389 |       19960 |        9832 |            3215 |                 0 |                0 |            10935 |          1949 |             573 |            35118 |              3505 |       10331 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
