 sample | region_wa_hit | region_ea_hit | region_sea_hit | vra_wa_hit | vra_ea_hit | vra_sea_hit | wra_wa_hit | wra_ea_hit | wra_sea_hit | hra_ea_old_hit | hra_ea_old_nowedge_hit | hra_ea_new_hit | ibf_woa_ea_hit | ibf_xrz_ea_hit | ibf_hra_wa_hit | ibf_hra_ea_hit | aoi_sea_hit | jcc_wa_hit | jcc_ea_hit | jcc_sea_hit | atalanta_red_hit | atalanta_goa_hit | atalanta_somali_hit | atalanta_south_hit | atalanta_north_hit | atalanta_indian_hit | irtc_east_hit | irtc_west_hit | strait_malacca_hit | strait_singapore_hit | strait_sunda_hit | bgd_vicinity_hit | nga_naa_hit | nga_la_hit | nga_sts_hit | nga_saa_hit | nga_saa_mez_hit | ben_1_storage_hit | ben_2_tanker_hit | ben_3_tanker_hit | ben_4_sts_hit | tgo_waiting_hit | tgo_berthing_hit | gha_anchorage_hit | gha_sts_hit | region_wa_cov | region_ea_cov | region_sea_cov | vra_wa_cov | vra_ea_cov | vra_sea_cov | wra_wa_cov | wra_ea_cov | wra_sea_cov | hra_ea_old_cov | hra_ea_old_nowedge_cov | hra_ea_new_cov | ibf_woa_ea_cov | ibf_xrz_ea_cov | ibf_hra_wa_cov | ibf_hra_ea_cov | aoi_sea_cov | bgd_vicinity_cov 
--------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------+------------+-------------+------------------+------------------+---------------------+--------------------+--------------------+---------------------+---------------+---------------+--------------------+----------------------+------------------+------------------+-------------+------------+-------------+-------------+-----------------+-------------------+------------------+------------------+---------------+-----------------+------------------+-------------------+-------------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------------
 A      |             2 |             0 |              9 |          0 |          0 |           7 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           6 |          0 |          0 |           1 |                0 |                0 |                   0 |                  0 |                  0 |                   0 |             0 |             0 |                  1 |                    1 |                0 |                0 |           0 |          0 |           0 |           0 |               0 |                 0 |                0 |                0 |             0 |               0 |                0 |                 0 |           0 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 B      |          7088 |         12336 |          80789 |       3245 |      10657 |       21777 |        958 |       6354 |         865 |           7396 |                   6789 |           2441 |             43 |           6526 |            675 |           1486 |       30536 |       1508 |       3825 |        6822 |             1714 |             1135 |                 289 |               1470 |               2011 |                3612 |           493 |           489 |               4747 |                 6437 |              706 |              681 |         207 |         29 |          96 |          41 |              17 |                 0 |                1 |               27 |             6 |               1 |              102 |                17 |          61 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 C      |          7204 |         12749 |         115173 |       3352 |      11162 |       22648 |       1016 |       6542 |         920 |           7775 |                   7140 |           2615 |             46 |           6778 |            710 |           1490 |       32960 |       1597 |       4030 |        7166 |             1807 |             1145 |                 264 |               1572 |               2067 |                3741 |           486 |           508 |               5016 |                 6842 |              717 |              679 |         226 |         33 |          93 |          50 |              22 |                 0 |                3 |               31 |             7 |               0 |              130 |                17 |          60 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 D      |          7648 |         13472 |         139428 |       3550 |      11692 |       24627 |       1047 |       7088 |         793 |           8334 |                   7433 |           2660 |             44 |           7233 |            724 |           1481 |       38550 |       1669 |       4186 |        7360 |             2009 |             1166 |                 212 |               1416 |               2189 |                3876 |           503 |           510 |               5269 |                 6956 |              666 |              691 |         208 |         28 |          98 |          49 |              17 |                 0 |                2 |               31 |             8 |               1 |              131 |                22 |          70 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 E      |          7654 |         13434 |         131383 |       3467 |      11544 |       22982 |       1037 |       6883 |         862 |           8151 |                   7137 |           2528 |             54 |           7041 |            707 |           1454 |       36949 |       1646 |       4104 |        7244 |             2004 |             1175 |                 207 |               1450 |               2182 |                3811 |           504 |           495 |               5145 |                 6888 |              639 |              660 |         201 |         32 |          85 |          49 |              20 |                 0 |                0 |               50 |            11 |               2 |              128 |                30 |          75 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 F      |          7166 |         12879 |         122775 |       3469 |      11069 |       23262 |       1019 |       6541 |         865 |           7746 |                   6532 |           2366 |             45 |           6747 |            681 |           1377 |       36437 |       1644 |       3884 |        7247 |             1788 |             1103 |                 218 |               1438 |               2050 |                3349 |           479 |           504 |               5116 |                 6872 |              665 |              662 |         184 |         22 |          84 |          45 |              22 |                 1 |                0 |               52 |            15 |               3 |              125 |                36 |          71 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 G      |          6922 |         12568 |         121838 |       3353 |      10707 |       21114 |        986 |       6179 |         704 |           7346 |                   6392 |           2180 |             42 |           6313 |            629 |           1250 |       33570 |       1588 |       3658 |        6275 |             1809 |             1030 |                 172 |               1283 |               1899 |                3266 |           412 |           432 |               3804 |                 5721 |              509 |              644 |         167 |         18 |          57 |          40 |              18 |                 0 |                0 |               34 |             3 |               2 |              116 |                15 |          47 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 H      |          4689 |          8500 |          93773 |       2239 |       7273 |       15065 |        683 |       4415 |         485 |           5113 |                   4554 |           1695 |             41 |           4492 |            452 |            982 |       26756 |       1105 |       2754 |        4275 |             1275 |              796 |                 141 |               1079 |               1362 |                2293 |           333 |           336 |               2620 |                 3919 |              379 |              436 |         133 |         14 |          49 |          33 |              11 |                 0 |                1 |               27 |             5 |               0 |               89 |                 9 |          36 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 I      |          4790 |          7933 |         101036 |       2266 |       6539 |       14439 |        658 |       3909 |         413 |           4653 |                   4250 |           1425 |             29 |           4032 |            397 |            693 |       26814 |       1068 |       2341 |        3463 |              984 |              550 |                  90 |                764 |               1037 |                1895 |           209 |           217 |               1943 |                 3160 |              307 |              400 |          95 |         14 |          34 |          14 |               6 |                 0 |                0 |               16 |             3 |               1 |               65 |                 7 |          24 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
