 length  | pcode |  type  |    avg_speed     
---------+-------+--------+------------------
 120-199 | A     | Cargo  | 10.8620407999778
 120-199 | B     | Cargo  | 12.3218679776219
 120-199 | C     | Cargo  | 12.3497931965643
 120-199 | D     | Cargo  | 12.4027357109283
 120-199 | E     | Cargo  | 12.3993210874979
 120-199 | F     | Cargo  | 12.3803595705403
 120-199 | G     | Cargo  | 12.2571408441772
 120-199 | H     | Cargo  | 12.1573696629655
 120-199 | I     | Cargo  | 12.1344475840872
 120-199 | J     | Cargo  | 12.0340900185032
 120-199 | K     | Cargo  | 12.1298987599756
 120-199 | A     | Tanker | 9.63728813397682
 120-199 | B     | Tanker | 12.1076975105548
 120-199 | C     | Tanker | 12.1300319638699
 120-199 | D     | Tanker |  12.201169989089
 120-199 | E     | Tanker | 12.1721159499911
 120-199 | F     | Tanker | 12.0818640713546
 120-199 | G     | Tanker | 12.0503385346807
 120-199 | H     | Tanker | 12.0335216921957
 120-199 | I     | Tanker | 12.0073169715787
 120-199 | J     | Tanker | 11.9459342484363
 120-199 | K     | Tanker | 12.0329117042174
 200-299 | A     | Cargo  | 12.1076086811397
 200-299 | B     | Cargo  | 12.7272883829805
 200-299 | C     | Cargo  | 12.7757359224443
 200-299 | D     | Cargo  | 12.9264897893181
 200-299 | E     | Cargo  | 12.8947699176479
 200-299 | F     | Cargo  | 12.8345507458382
 200-299 | G     | Cargo  | 12.7874937151382
 200-299 | H     | Cargo  | 12.7353619578083
 200-299 | I     | Cargo  | 12.7204454152503
 200-299 | J     | Cargo  | 12.6381673679438
 200-299 | K     | Cargo  | 12.8230146064791
 200-299 | A     | Tanker | 11.7323528598337
 200-299 | B     | Tanker | 12.7891503927572
 200-299 | C     | Tanker | 12.8167614910507
 200-299 | D     | Tanker | 12.7637685712724
 200-299 | E     | Tanker | 12.7520385695639
 200-299 | F     | Tanker | 12.6036565265433
 200-299 | G     | Tanker | 12.6371891551404
 200-299 | H     | Tanker | 12.5957897963173
 200-299 | I     | Tanker | 12.5876982047039
 200-299 | J     | Tanker | 12.8002474341276
 200-299 | K     | Tanker | 12.8558181776893
 300+    | A     | Cargo  | 13.3294117170222
 300+    | B     | Cargo  |  14.922933609486
 300+    | C     | Cargo  | 14.9352677888677
 300+    | D     | Cargo  | 15.0422900121509
 300+    | E     | Cargo  | 15.1968087267376
 300+    | F     | Cargo  | 15.0627826241334
 300+    | G     | Cargo  | 15.1421613134735
 300+    | H     | Cargo  |  15.225579058328
 300+    | I     | Cargo  | 15.2195722847206
 300+    | J     | Cargo  | 14.9731911556727
 300+    | K     | Cargo  | 15.2620420983318
 300+    | A     | Tanker | 12.0376623203228
 300+    | B     | Tanker | 12.9862496818461
 300+    | C     | Tanker | 12.8762559115665
 300+    | D     | Tanker | 12.8794488248098
 300+    | E     | Tanker | 12.8804601590086
 300+    | F     | Tanker | 12.6224557475463
 300+    | G     | Tanker | 12.5433507417159
 300+    | H     | Tanker | 12.3823305498601
 300+    | I     | Tanker | 12.2585855087552
 300+    | J     | Tanker | 12.4807988709859
 300+    | K     | Tanker | 12.6509385111692
(66 rows)

