 doy | total 
-----+-------
   0 |      
   1 |     2
   2 |      
   3 |     2
   4 |     1
   5 |     1
   6 |     2
   7 |     3
   8 |     2
   9 |     2
  10 |     7
  11 |     4
  12 |      
  13 |     2
  14 |     4
  15 |     7
  16 |      
  17 |     6
  18 |     3
  19 |     2
  20 |     2
  21 |     7
  22 |     7
  23 |     3
  24 |     3
  25 |     6
  26 |    11
  27 |     6
  28 |     2
  29 |     4
  30 |     5
  31 |     7
  32 |     8
  33 |    12
  34 |    13
  35 |    16
  36 |    17
  37 |    50
  38 |   688
  39 |   717
  40 |   693
  41 |   720
  42 |   750
  43 |   760
  44 |   754
  45 |   736
  46 |   726
  47 |   721
  48 |   738
  49 |   748
  50 |   762
  51 |   745
  52 |   750
  53 |   683
  54 |   680
  55 |   620
  56 |    59
  57 |   593
  58 |    17
  59 |    34
  60 |   592
  61 |   682
  62 |   656
  63 |   708
  64 |   714
  65 |   694
  66 |   708
  67 |   747
  68 |   729
  69 |   717
  70 |   754
  71 |   743
  72 |   713
  73 |   746
  74 |   772
  75 |   774
  76 |   772
  77 |   754
  78 |   749
  79 |   713
  80 |   698
  81 |     5
  82 |     8
  83 |     3
  84 |     5
  85 |     5
  86 |     7
  87 |     2
  88 |     6
  89 |     7
  90 |    10
  91 |    17
  92 |    24
  93 |    27
  94 |    98
  95 |   691
  96 |   713
  97 |   691
  98 |   695
  99 |   756
 100 |   765
 101 |   747
 102 |   726
 103 |   717
 104 |    14
 105 |    15
 106 |    11
 107 |    23
 108 |    91
 109 |   716
 110 |   691
 111 |   685
 112 |   735
 113 |   710
 114 |   729
 115 |   711
 116 |   700
 117 |   710
 118 |   606
 119 |    10
 120 |    14
 121 |    39
 122 |    14
 123 |   500
 124 |   696
 125 |   704
 126 |   715
 127 |   712
 128 |   696
 129 |   691
 130 |   686
 131 |   732
 132 |   738
 133 |   731
 134 |   746
 135 |   753
 136 |   741
 137 |   723
 138 |   754
 139 |   778
 140 |   763
 141 |   750
 142 |   528
 143 |    22
 144 |   633
 145 |     6
 146 |     9
 147 |     1
 148 |     5
 149 |     4
 150 |     6
 151 |     7
 152 |    31
 153 |     8
 154 |    12
 155 |     3
 156 |    10
 157 |     7
 158 |    22
 159 |   675
 160 |   716
 161 |   705
 162 |   725
 163 |   687
 164 |   714
 165 |   725
 166 |   720
 167 |   700
 168 |   723
 169 |   722
 170 |   675
 171 |   666
 172 |   655
 173 |   681
 174 |   651
 175 |   677
 176 |   632
 177 |   667
 178 |   601
 179 |     8
 180 |    10
 181 |    11
 182 |   299
 183 |    17
 184 |   602
 185 |   701
 186 |   705
 187 |   705
 188 |   413
 189 |   374
 190 |   371
 191 |   410
 192 |   570
 193 |   375
 194 |   645
 195 |   394
 196 |   532
 197 |   527
 198 |   534
 199 |   495
 200 |   327
 201 |   497
 202 |   422
 203 |   486
 204 |   266
 205 |   453
 206 |   301
 207 |   280
 208 |     5
 209 |     5
 210 |     7
 211 |     3
 212 |    17
 213 |   269
 214 |     5
 215 |    13
 216 |    10
 217 |     4
 218 |     9
 219 |    70
 220 |   412
 221 |   351
 222 |   415
 223 |   417
 224 |   404
 225 |   401
 226 |   402
 227 |   394
 228 |   337
 229 |    13
 230 |    31
 231 |   385
 232 |   378
 233 |   366
 234 |   478
 235 |   384
 236 |   396
 237 |   398
 238 |   443
 239 |   409
 240 |   455
 241 |   408
 242 |    18
 243 |   373
 244 |   438
 245 |   445
 246 |   433
 247 |   432
 248 |   503
 249 |   417
 250 |   434
 251 |   425
 252 |     6
 253 |    11
 254 |    31
 255 |   350
 256 |   601
 257 |   387
 258 |   375
 259 |      
 260 |     1
 261 |      
 262 |      
 263 |     1
 264 |     3
 265 |     3
 266 |     2
 267 |     2
 268 |     3
 269 |     4
 270 |     2
 271 |     2
 272 |     1
 273 |     2
 274 |      
 275 |     2
 276 |     1
 277 |     3
 278 |     3
 279 |     1
 280 |     6
 281 |      
 282 |     5
 283 |     6
 284 |     8
 285 |     7
 286 |    14
 287 |     4
 288 |    11
 289 |   347
 290 |    12
 291 |     3
 292 |     5
 293 |     4
 294 |     3
 295 |    11
 296 |    10
 297 |    10
 298 |    18
 299 |   397
 300 |   568
 301 |   419
 302 |   414
 303 |   442
 304 |   440
 305 |   455
 306 |   532
 307 |   419
 308 |   474
 309 |   494
 310 |   602
 311 |   443
 312 |   378
 313 |   369
 314 |   392
 315 |   403
 316 |   401
 317 |   439
 318 |   639
 319 |   428
 320 |   433
 321 |   456
 322 |   434
 323 |   475
 324 |   525
 325 |   693
 326 |   485
 327 |   490
 328 |   482
 329 |   500
 330 |   592
 331 |   723
 332 |   625
 333 |   642
 334 |      
 335 |      
 336 |      
 337 |      
 338 |      
 339 |      
 340 |      
 341 |      
 342 |      
 343 |      
 344 |      
 345 |      
 346 |      
 347 |      
 348 |      
 349 |      
 350 |      
 351 |      
 352 |      
 353 |      
 354 |      
 355 |      
 356 |      
 357 |      
 358 |      
 359 |      
 360 |      
 361 |      
 362 |      
 363 |      
 364 |      
 365 |      
(366 rows)

