 partition_code |    vessel_name    |   mmsi    
----------------+-------------------+-----------
 D              | GNS BLIKA         | 627400200
 D              | GNS BLIKA         | 627400200
 D              | GNS BLIKA         | 627400200
 D              | GNS BLIKA         | 627400200
 D              | GNS BLIKA         | 627400200
 D              | GNS BLIKA         | 627400200
 K              | GNS YAA ASANTEWAA | 627400600
 J              | GNS YAA ASANTEWAA | 627400600
 F              | GNS YAA ASANTEWAA | 627400600
 C              | GNS YAA ASANTEWAA | 627400600
 B              | GNS YAA ASANTEWAA | 627400600
 K              | GNS YAA ASANTEWAA | 627400600
 J              | GNS YAA ASANTEWAA | 627400600
 F              | GNS YAA ASANTEWAA | 627400600
 C              | GNS YAA ASANTEWAA | 627400600
 B              | GNS YAA ASANTEWAA | 627400600
 K              | GNS YAA ASANTEWAA | 627400600
 J              | GNS YAA ASANTEWAA | 627400600
 F              | GNS YAA ASANTEWAA | 627400600
 C              | GNS YAA ASANTEWAA | 627400600
 B              | GNS YAA ASANTEWAA | 627400600
 K              | GNS YAA ASANTEWAA | 627400600
 J              | GNS YAA ASANTEWAA | 627400600
 F              | GNS YAA ASANTEWAA | 627400600
 C              | GNS YAA ASANTEWAA | 627400600
 B              | GNS YAA ASANTEWAA | 627400600
 K              | GNS YAA ASANTEWAA | 627400600
 J              | GNS YAA ASANTEWAA | 627400600
 F              | GNS YAA ASANTEWAA | 627400600
 C              | GNS YAA ASANTEWAA | 627400600
 B              | GNS YAA ASANTEWAA | 627400600
 K              | GNS YAA ASANTEWAA | 627400600
 J              | GNS YAA ASANTEWAA | 627400600
 F              | GNS YAA ASANTEWAA | 627400600
 C              | GNS YAA ASANTEWAA | 627400600
 B              | GNS YAA ASANTEWAA | 627400600
 K              | GNS YAA ASANTEWAA | 627400600
 J              | GNS YAA ASANTEWAA | 627400600
 F              | GNS YAA ASANTEWAA | 627400600
 C              | GNS YAA ASANTEWAA | 627400600
 B              | GNS YAA ASANTEWAA | 627400600
 K              | GNS YAA ASANTEWAA | 627400600
 J              | GNS YAA ASANTEWAA | 627400600
 F              | GNS YAA ASANTEWAA | 627400600
 C              | GNS YAA ASANTEWAA | 627400600
 B              | GNS YAA ASANTEWAA | 627400600
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
