 partition_code |  vessel_name   |   mmsi    
----------------+----------------+-----------
 B              | NNS UNITY      | 657736000
 B              | NNS PROSPERITY | 657102900
 B              | NNS POUNCER    | 657111004
 B              | NNSNEMESIS     | 657111006
 B              | NNS FORTRESS   | 657111041
 B              | NNS ISEHIN     | 657111033
 B              | NNS VALIANT    | 657111033
 B              | NNS TITAN      | 657111037
 B              | NNS DOLPHIN    | 657111041
 B              | NNS NEMESIS    | 657111046
 B              | NNS RANGER     | 657111042
 B              | NNS QUANTUM    | 657111043
 B              | NNS VIPER      | 657111043
 B              | NNS VIPER      | 657111044
 B              | NNS GENESIS    | 657111050
 B              | NNS YENEGOA    | 657111052
 B              | NNS BINI       | 657111053
 B              | NNS OTU'KG     | 657111055
 B              | NNS OTUOKE     | 657111055
 B              | NNS SWORD      | 657111058
 B              | NNS WARRIOR    | 657111060
 B              | NNS HAWK       | 657111061
 B              | NNS DAURA      | 657111080
 B              | NNS OGURO      | 657111099
 B              | NNS SEA HORSE  | 657631000
 B              | NNS FIAT       | 657716000
 B              | NNS TIGER      | 657705000
 B              | NNS HARMONY    | 657706000
 B              | NNS BURUTU     | 657713000
 B              | NNS  VALOUR    | 657715000
 B              | NNS  VALIANT   | 657717000
 B              | NNS STORM      | 657718000
 B              | NNS CENTENARY  | 657735000
 B              | NNS SPARROW    | 657720000
 B              | NNS PROTECTOR  | 657733000
 B              | NNS OKPABANA   | 657737000
 B              | NNS GBEDE      | 657743000
 B              | NNS OKURA      | 657744000
 C              | NNS DEPENDABLE | 341047000
 C              | NNS SEA HORSE  | 657631000
 C              | NNS POUNCER    | 657111004
 C              | NNSNEMESIS     | 657111006
 C              | NNS COBRA      | 657111030
 C              | NNS DOLPHIN    | 657111041
 C              | NNS ISEHIN     | 657111033
 C              | NNS VALIANT    | 657111033
 C              | NNS PHANTOM    | 657111034
 C              | NNS TITAN      | 657111037
 C              | NNS FORTRESS   | 657111041
 C              | NNS CONQUER    | 657111051
 C              | NNS RANGER     | 657111042
 C              | NNS DAURA      | 657111080
 C              | NNS VIPER      | 657111043
 C              | NNS WARRIOR    | 657111060
 C              | NNS GENESIS    | 657111050
 C              | NNS YENEGOA    | 657111052
 C              | NNS HAWK       | 657111061
 C              | NNS BINI       | 657111053
 C              | NNS VISION     | 657111053
 C              | NNS OGURO      | 657111099
 C              | NNS OTUOKE     | 657111055
 C              | NNS SWORD      | 657111058
 C              | NNS SPARROW    | 657720000
 C              | NNS CENTENARY  | 657735000
 C              | NNS KYANWA     | 657708000
 C              | NNS TIGER      | 657705000
 C              | NNS HARMONY    | 657706000
 C              | NNS  VALOUR    | 657715000
 C              | NNS FIAT       | 657716000
 C              | NNS  VALIANT   | 657717000
 C              | NNS STORM      | 657718000
 C              | NNS OKPABANA   | 657737000
 C              | NNS DOLPHIN    | 657741000
 C              | NNS GBEDE      | 657743000
 C              | NNS OKURA      | 657744000
 D              | NNS DEPENDABLE | 341047000
 D              | NNS YENEGOA    | 657111052
 D              | NNS OGURO      | 657111099
 D              | NNS SEA HORSE  | 657631000
 D              | NNS POUNCER    | 657111004
 D              | NNSNEMESIS     | 657111006
 D              | NNS PHANTOM    | 657111034
 D              | NNS STRIKER    | 657111036
 D              | NNS NEMESIS    | 657111046
 D              | NNS ISEHIN     | 657111033
 D              | NNS VALIANT    | 657111033
 D              | NNS TITAN      | 657111037
 D              | NNS RANGER     | 657111042
 D              | NNS GENESIS    | 657111050
 D              | NNS CONQUER    | 657111051
 D              | NNS BINI       | 657111053
 D              | NNS VISION     | 657111053
 D              | NNS OTUOKE     | 657111055
 D              | NNS SWORD      | 657111058
 D              | NNS WARRIOR    | 657111060
 D              | NNS HAWK       | 657111061
 D              | NNS DAURA      | 657111080
 D              | NNS JATTU      | 657111090
 D              | NNS KYANWA     | 657708000
 D              | NNS TIGER      | 657705000
 D              | NNS HARMONY    | 657706000
 D              | NNS VISION     | 657707000
 D              | NNS  VALOUR    | 657715000
 D              | NNS FIAT       | 657716000
 D              | NNS  VALIANT   | 657717000
 D              | NNS SPARROW    | 657720000
 D              | NNS PROTECTOR  | 657733000
 D              | NNS OKPABANA   | 657737000
 D              | NNS TERMINATOR | 657733000
 D              | NNS CENTENARY  | 657735000
 D              | NNS UNITY      | 657736000
 D              | NNS DOLPHIN    | 657741000
 D              | NNS GBEDE      | 657743000
 D              | NNS OKURA      | 657744000
 D              | NNS IKOLE      | 657756110
 E              | NNS DEPENDABLE | 341047000
 E              | NNS JATTU      | 657111090
 E              | NNS ISEHIN     | 657111033
 E              | NNS VIPER      | 657111043
 E              | NNS GENESIS    | 657111050
 E              | NNS CONQUER    | 657111051
 E              | NNS HARMONY    | 657706000
 E              | NNS STORM      | 657718000
 E              | NNS SPARROW    | 657720000
 E              | NNS PROTECTOR  | 657733000
 E              | NNS TERMINATOR | 657733000
 E              | NNS CENTENARY  | 657735000
 E              | NNS TITAN      | 657111037
 E              | NNS RANGER     | 657111042
 E              | NNS CONQUEST   | 657111043
 E              | NNS QUANTUM    | 657111043
 E              | NNS YENEGOA    | 657111052
 E              | NNS OTUOKE     | 657111055
 E              | NNS BINI       | 657111053
 E              | NNS SWORD      | 657111058
 E              | NNS WARRIOR    | 657111060
 E              | NNS DAURA      | 657111080
 E              | NNS OGURO      | 657111099
 E              | NNS SEA HORSE  | 657631000
 E              | NNS VISION     | 657707000
 E              | NNS KYANWA     | 657708000
 E              | NNS FIAT       | 657716000
 E              | NNS  VALIANT   | 657717000
 E              | NNS UNITY      | 657736000
 E              | NNS DOLPHIN    | 657741000
 E              | NNS OKURA      | 657744000
 E              | NNS NKO        | 675111098
 F              | NNS DAURA      | 657111008
 F              | NNS COBRA      | 657111030
 F              | NNS ISEHIN     | 657111033
 F              | NNS CONQUEST   | 657111034
 F              | NNS TITAN      | 657111037
 F              | NNS RANGER     | 657111042
 F              | NNS GENESIS    | 657111050
 F              | NNS QUANTUM    | 657111043
 F              | NNS DAURA      | 657111080
 F              | NNS YENEGOA    | 657111052
 F              | NNS BINI       | 657111053
 F              | NNS VISION     | 657111053
 F              | NNS OTUOKE     | 657111055
 F              | NNS SWORD      | 657111058
 F              | NNS OGURO      | 657111099
 F              | NNS WARRIOR    | 657111060
 F              | NNS HAWK       | 657111061
 F              | NNS JATTU      | 657111090
 F              | NNS TERMINATOR | 657111093
 F              | NNS VIPER      | 657111094
 F              | NNS OKPABANA   | 657737000
 F              | NNS DOLPHIN    | 657741000
 F              | NNS*DOLPHIN    | 657741000
 F              | NNS SEA HORSE  | 657631000
 F              | NNS TIGER      | 657705000
 F              | NNS HARMONY    | 657706000
 F              | NNS IKOLE      | 657756110
 F              | NNS VISION     | 657707000
 F              | NNS KYANWA     | 657708000
 F              | NNS OBULA      | 657711000
 F              | NNS.OBULA      | 657711000
 F              | NNS FIAT       | 657716000
 F              | NNS STORM      | 657718000
 F              | NNS SPARROW    | 657720000
 F              | NNS UNITY      | 657736000
 F              | NNS GBEDE      | 657743000
 F              | NNS NKO        | 675111098
 G              | NNS DEPENDABLE | 341047000
 G              | NNS GENESIS    | 657111050
 G              | NNS YENEGOA    | 657111052
 G              | NNS PROSPERITY | 657102900
 G              | NNS ISEHIN     | 657111033
 G              | NNS PHANTOM    | 657111034
 G              | NNS TITAN      | 657111037
 G              | NNS DAURA      | 657111008
 G              | NNS RANGER     | 657111042
 G              | NNS QUANTUM    | 657111043
 G              | NNS BINI       | 657111053
 G              | NNS OTUOKE     | 657111055
 G              | NNS SWORD      | 657111058
 G              | NNS WARRIOR    | 657111060
 G              | NNS JATTU      | 657111090
 G              | NNS TERMINATOR | 657111093
 G              | NNS OGURO      | 657111099
 G              | NNS SEA HORSE  | 657631000
 G              | NNS FIAT       | 657716000
 G              | NNS TIGER      | 657705000
 G              | NNS HARMONY    | 657706000
 G              | NNS VISION     | 657707000
 G              | NNS KYANWA     | 657708000
 G              | NNS  VALOUR    | 657715000
 G              | NNS SPARROW    | 657720000
 G              | NNS UNITY      | 657736000
 G              | NNS OKPABANA   | 657737000
 G              | NNS DOLPHIN    | 657741000
 G              | NNS GBEDE      | 657743000
 G              | NNS OKURA      | 657744000
 G              | NNS IKOLE      | 657756110
 G              | NNS NKO        | 675111098
 H              | NNS DEPENDABLE | 341047000
 H              | NNS VIGILANT   | 341938000
 H              | NNS PROSPERITY | 657102900
 H              | NNS FIAT       | 657716000
 H              | NNS UNITY      | 657736000
 H              | NNS JATTU      | 657111090
 H              | NNS DAURA      | 657111008
 H              | NNS LIGHTNING  | 657111011
 H              | NNS ISEHIN     | 657111033
 H              | NNS TITAN      | 657111037
 H              | NNS GENESIS    | 657111050
 H              | NNS BINI       | 657111053
 H              | NNS WARRIOR    | 657111060
 H              | NNS HAWK       | 657111061
 H              | NNS OGURO      | 657111099
 H              | NNS SEA HORSE  | 657631000
 H              | NNS TIGER      | 657705000
 H              | NNS  VALOUR    | 657715000
 H              | NNS VISION     | 657707000
 H              | NNS KYANWA     | 657708000
 H              | NNS OBULA      | 657711000
 H              | NNS DOLPHIN    | 657741000
 H              | NNS GBEDE      | 657743000
 H              | NNS GBGDE      | 657743000
 H              | NNS OKURA      | 657744000
 H              | NNS NKO        | 675111098
 I              | NNS VIGILANT   | 341938000
 I              | NNS COBRA      | 657111030
 I              | NNS YENEGOA    | 657111052
 I              | NNS PROSPERITY | 657102900
 I              | NNS DAURA      | 657111008
 I              | NNS LIGHTNING  | 657111011
 I              | NNS ISEHIN     | 657111033
 I              | NNS TITAN      | 657111037
 I              | NNS QUANTUM    | 657111043
 I              | NNS BINI       | 657111053
 I              | NNS OTUOKE     | 657111055
 I              | NNS HAWK       | 657111061
 I              | NNS JATTU      | 657111090
 I              | NNS FIAT       | 657716000
 I              | NNS TIGER      | 657705000
 I              | NNS VISION     | 657707000
 I              | NNS KYANWA     | 657708000
 I              | NNS  VALOUR    | 657715000
 I              | NNS  VALIANT   | 657717000
 I              | NNS SPARROW    | 657720000
 I              | NNS UNITY      | 657736000
 I              | NNS DOLPHIN    | 657741000
 I              | NNS GBEDE      | 657743000
 I              | NNS OKURA      | 657744000
 I              | NNS IKOLE      | 657756110
 I              | NNS NKO        | 675111098
 J              | NNS VIGILANT   | 341938000
 J              | NNS PROSPERITY | 657102900
 J              | NNS HUNTER     | 657111005
 J              | NNS LIGHTNING  | 657111011
 J              | NNS COBRA      | 657111030
 J              | NNS ISEHIN     | 657111033
 J              | NNS STRIKER    | 657111036
 J              | NNS TITAN      | 657111037
 J              | NNS GENESIS    | 657111050
 J              | NNS YENEGOA    | 657111052
 J              | NNS BINI       | 657111053
 J              | NNS WARRIOR    | 657111060
 J              | NNS JATTU      | 657111090
 J              | NNS VIPER      | 657111094
 J              | NNS OGURO      | 657111099
 J              | NNS SEA HORSE  | 657631000
 J              | NNS TIGER      | 657705000
 J              | NNS HARMONY    | 657706000
 J              | NNS VISION     | 657707000
 J              | NNS%KQ!B]A     | 657708000
 J              | NNS KYANWA     | 657708000
 J              | NNS OBULA      | 657711000
 J              | NNS  VALOUR    | 657715000
 J              | NNS  VALIANT   | 657717000
 J              | NNS UNITY      | 657736000
 J              | NNS DOLPHIN    | 657741000
 J              | NNS IKOLE      | 657756110
 J              | NNS NKO        | 675111098
 K              | NNS DEPENDABLE | 341047000
 K              | NNS VIGILANT   | 341938000
 K              | NNS PROSPERITY | 657102900
 K              | NNS HUNTER     | 657111005
 K              | NNS DAURA      | 657111008
 K              | NNS OBULA      | 657711000
 K              | NNS  VALOUR    | 657715000
 K              | NNS  VALIANT   | 657717000
 K              | NNS SPARROW    | 657720000
 K              | NNS UNITY      | 657736000
 K              | NNS CONQUER    | 657738000
 K              | NNS IKOLE      | 657756110
 K              | NNS STRIKER    | 657111036
 K              | NNS GENESIS    | 657111050
 K              | NNS YENEGOA    | 657111052
 K              | NNS LIGHTNING  | 657111011
 K              | NNS ISEHIN     | 657111033
 K              | NNS WARRIOR    | 657111060
 K              | NNS TITAN      | 657111037
